GEN_TPS_1	GEN_TPS_2	DispatchGen
Martin_Lake_1	2	0.0
Decker_Creek_G3	2	0.0
Magic_Valley_Wind_(Redfish)_1B	2	51.75
Permian_Basin_2	1	0.0
Jack_County_Generation_Facility_2	1	595.0
Clear_Lake_Cogeneration_Ltd	1	384.9
Sandy_Creek_1	1	0.0
Sand_Hill_Energy_Center_GT_1	1	20.8
Senate_Wind	1	75.0
Ray_Olinger_1	2	0.0
Hereford_Wind_G	2	49.95
Stephens_Ranch_Wind_1	1	105.6
J_K_Spruce_2	2	0.0
King_Mountain_Wind_SE	1	20.15
Sweetwater_Wind_4-4A	1	58.9
Downie_Ranch_Solar_(OCI_Alamo_5)	2	47.5
Loraine_Windpark_I	2	24.75
Cameron_Wind	1	82.5
Wise_County_Power_LP	1	0.0
Limestone_1	1	0.0
Wolf_Ridge_Wind	2	56.25
Bull_Creek_Wind_Plant_U2	2	45.0
Hays_Energy_Facility_1	1	882.0
R_W_Miller_4	1	0.0
BP_Chemicals_Green_Lake_Plant	1	0.0
Permian_Basin_2	2	0.0
Pearsall_IC_Engine_Plant_B	1	0.0
Channel_Energy_Center	2	593.325000000001
Ocotillo_Wind_Farm	1	29.4
Gulf_Wind_II	1	70.8
Spencer_4	2	0.0
Hydro_West_LZ	2	0.0
Lufkin_Biomass	1	45.0
Greens_Bayou_81	2	0.0
T_H_Wharton_GT_52	2	0.0
T_H_Wharton_4	1	0.0
W_A_Parish_1	1	0.0
C_R_Wing_Cogen_Plant	1	207.7
ExTex_La_Porte_Power_Station_AirPro_2	1	0.0
Loraine_Windpark_II	1	25.5
Penascal_Wind_3	1	50.4
T_H_Wharton_GT_54	1	0.0
Rattlesnake_Den_Wind_1_G2	2	0.0
Texas_City_1	1	0.0
South_Texas_U2	1	1295.0
Gibbons_Creek_1	1	0.0
Permian_Basin_3	1	0.0
Odessa_Ector_Generating_Station_1	2	0.0
Hydro_South_LZ	2	67.7
Panhandle_Wind_2_U1	1	47.1
Tenaska_Gateway_Station	1	0.0
Panhandle_Wind_2_U1	2	47.1
Big_Brown_1	1	0.0
Jack_County_Generation_Facility_1	2	0.0
Notrees_Battery_Facility	2	36.0
V_H_Braunig_8	2	0.0
Midlothian_1	2	0.0
Freestone_Energy_Center_1	2	957.3
