gen_tech,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr
Biogas_IC,Biogas,2020,819.621,2040856.29,0.0
Biomass_ST,Biomass,2020,1314.9,3274101.0,0.0
Coal-Lig_ST,Coal-Lig,2020,0.0,0.0,0.0
Coal-Sub_ST,Coal-Sub,2020,7002.93825,44328599.1225,8348026.73247
Hydro_HYDRO,Water,2020,4095.4752,7126126.848,0.0
NG_CCGT,NG,2020,102748.69665,486001335.155,59235401.3848
NG_CCGT-CHP,NG,2020,35531.994825,168066335.522,22758307.5868
NG_IC,NG,2020,220.9032,1044872.136,168468.93305
NG_OCGT,NG,2020,2560.5486,12111394.878,1988468.68752
NG_OCGT-CHP,NG,2020,1575.6885,7453006.605,1211242.19544
NG_ST,NG,2020,44215.2657,209138206.761,39833382.4662
Solar_PV,Solar,2020,1190.8611,428709.996,0.0
Storage_BATT,Storage,2020,315.576,0.0,0.0
Uranium_ST,Uranium,2020,43663.446,58072383.18,0.0
Wind-C_WT,Wind-C,2020,8088.3882,0.0,0.0
Wind_WT,Wind,2020,53306.813025,0.0,0.0
