gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr
Biogas_IC,AEN,Biogas,2020,56.1024,139694.976,0.0
Biogas_IC,CPS,Biogas,2020,234.9288,584972.712,0.0
Biogas_IC,Houston,Biogas,2020,214.767,534769.83,0.0
Biogas_IC,North,Biogas,2020,313.8228,781418.772,0.0
Biomass_ST,North,Biomass,2020,1314.9,3274101.0,0.0
Coal-Lig_ST,North,Coal-Lig,2020,0.0,0.0,0.0
Coal-Lig_ST,South,Coal-Lig,2020,0.0,0.0,0.0
Coal-Sub_ST,AEN,Coal-Sub,2020,0.0,0.0,0.0
Coal-Sub_ST,CPS,Coal-Sub,2020,7002.93825,44328599.1225,8348026.73247
Coal-Sub_ST,Houston,Coal-Sub,2020,0.0,0.0,0.0
Coal-Sub_ST,LCRA,Coal-Sub,2020,0.0,0.0,0.0
Coal-Sub_ST,North,Coal-Sub,2020,0.0,0.0,0.0
Coal-Sub_ST,South,Coal-Sub,2020,0.0,0.0,0.0
Coal-Sub_ST,West,Coal-Sub,2020,0.0,0.0,0.0
Hydro_HYDRO,LCRA,Water,2020,2454.48,4270795.2,0.0
Hydro_HYDRO,North,Water,2020,452.3256,787046.544,0.0
Hydro_HYDRO,RCEC,Water,2020,262.98,457585.2,0.0
Hydro_HYDRO,South,Water,2020,593.4582,1032617.268,0.0
Hydro_HYDRO,West,Water,2020,332.2314,578082.636,0.0
NG_CCGT,AEN,NG,2020,1292.985,6115819.05,811280.401269
NG_CCGT,Houston,NG,2020,11746.44,55560661.2,6806729.38484
NG_CCGT,LCRA,NG,2020,6752.0115,31937014.395,3809603.47491
NG_CCGT,North,NG,2020,61315.1019,290020431.987,35433523.8308
NG_CCGT,South,NG,2020,17864.01225,84496777.9425,10368806.5254
NG_CCGT,West,NG,2020,3778.146,17870630.58,2005457.76757
NG_CCGT-CHP,Houston,NG,2020,26785.280025,126694374.518,17643700.844
NG_CCGT-CHP,South,NG,2020,7836.3657,37066009.761,4545907.77717
NG_CCGT-CHP,West,NG,2020,910.3491,4305951.243,568698.965698
NG_IC,North,NG,2020,220.9032,1044872.136,168468.93305
NG_IC,South,NG,2020,0.0,0.0,0.0
NG_OCGT,AEN,NG,2020,91.1664,431217.072,70097.3474243
NG_OCGT,Houston,NG,2020,0.0,0.0,0.0
NG_OCGT,LCRA,NG,2020,0.0,0.0,0.0
NG_OCGT,North,NG,2020,0.0,0.0,0.0
NG_OCGT,South,NG,2020,1180.7802,5585090.346,918053.088736
NG_OCGT,West,NG,2020,1288.602,6095087.46,1000318.25136
NG_OCGT-CHP,Houston,NG,2020,1470.4965,6955448.445,1141714.15993
NG_OCGT-CHP,South,NG,2020,105.192,497558.16,69528.03551
NG_ST,AEN,NG,2020,5481.051075,25925371.5847,4502715.2798
NG_ST,Houston,NG,2020,14722.497,69637410.81,12158485.9377
NG_ST,LCRA,NG,2020,1085.2308,5133141.684,918576.618484
NG_ST,North,NG,2020,20191.494825,95505770.5223,19714526.5383
NG_ST,South,NG,2020,0.0,0.0,0.0
NG_ST,West,NG,2020,2734.992,12936512.16,2539078.09195
Solar_PV,AEN,Solar,2020,117.0261,42129.396,0.0
Solar_PV,North,Solar,2020,8.766,3155.76,0.0
Solar_PV,South,Solar,2020,994.941,358178.76,0.0
Solar_PV,West,Solar,2020,70.128,25246.08,0.0
Storage_BATT,West,Storage,2020,315.576,0.0,0.0
Uranium_ST,North,Uranium,2020,21038.4,27981072.0,0.0
Uranium_ST,South,Uranium,2020,22625.046,30091311.18,0.0
Wind-C_WT,South,Wind-C,2020,8088.3882,0.0,0.0
Wind_WT,North,Wind,2020,7686.9054,0.0,0.0
Wind_WT,South,Wind,2020,3466.0764,0.0,0.0
Wind_WT,West,Wind,2020,42153.831225,0.0,0.0
