GENERATION_PROJECT	build_year	gen_overnight_cost	gen_fixed_om
Big_Brown_1	1971	100	0
Big_Brown_2	1972	100	0
Coleto_Creek	1980	100	0
Fayette_Power_Project_1	1979	100	0
Fayette_Power_Project_2	1980	100	0
Fayette_Power_Project_3	1988	100	0
Gibbons_Creek_1	1983	100	0
J_K_Spruce_1	1992	100	0
J_K_Spruce_2	2010	100	0
J_T_Deely_1	1977	100	0
J_T_Deely_2	1978	100	0
Limestone_1	1985	100	0
Limestone_2	1986	100	0
Martin_Lake_1	1977	100	0
Martin_Lake_2	1978	100	0
Martin_Lake_3	1979	100	0
Monticello_1	1974	100	0
Monticello_2	1975	100	0
Monticello_3	1978	100	0
Oak_Grove_SES_Unit_1	2010	100	0
Oak_Grove_SES_Unit_2	2011	100	0
Oklaunion_1	1986	100	0
San_Miguel_1	1982	100	0
Sandow_4	1981	100	0
Sandow_5	2010	100	0
Sandy_Creek_1	2013	100	0
Twin_Oaks_1	1990	100	0
Twin_Oaks_2	1991	100	0
W_A_Parish_5	1977	100	0
W_A_Parish_6	1978	100	0
W_A_Parish_7	1980	100	0
W_A_Parish_8	1982	100	0
Lufkin_&_Nacogdoches_Biomass_Plants	2012	100	0
B_M_Davis_1	1974	100	0
Cedar_Bayou_1	1970	100	0
Cedar_Bayou_2	1972	100	0
Dansby_1	1978	100	0
Decker_Creek_1	1971	100	0
Decker_Creek_2	1978	100	0
Graham_1	1960	100	0
Graham_2	1969	100	0
Greens_Bayou_STG_U1	2016	100	0
Handley_3	1963	100	0
Handley_4	1976	100	0
Handley_5	1977	100	0
Lake_Hubbard_1	1970	100	0
Lake_Hubbard_2	1973	100	0
Mountain_Creek_6	1956	100	0
Mountain_Creek_7	1958	100	0
Mountain_Creek_8	1967	100	0
O_W_Sommers_1	1972	100	0
O_W_Sommers_2	1974	100	0
Pearsall_1	1961	100	0
Pearsall_2	1961	100	0
Pearsall_3	1961	100	0
Powerlane_Plant_1	1966	100	0
Powerlane_Plant_2	1967	100	0
Powerlane_Plant_3	1978	100	0
R_W_Miller_1	1968	100	0
R_W_Miller_2	1972	100	0
R_W_Miller_3	1975	100	0
Ray_Olinger_1	1967	100	0
Ray_Olinger_2	1971	100	0
Ray_Olinger_3	1975	100	0
Sim_Gideon_1	1965	100	0
Sim_Gideon_2	1968	100	0
Sim_Gideon_3	1972	100	0
Spencer_STG_U4	1966	100	0
Spencer_STG_U5	1973	100	0
Stryker_Creek_1	1958	100	0
Stryker_Creek_2	1965	100	0
Trinidad_6	1965	100	0
V_H_Braunig_1	1966	100	0
V_H_Braunig_2	1968	100	0
V_H_Braunig_3	1970	100	0
W_A_Parish_1	1958	100	0
W_A_Parish_2	1958	100	0
W_A_Parish_3	1961	100	0
W_A_Parish_4	1968	100	0
Arthur_Von_Rosenberg_1	2000	100	0
B_M_Davis_3	2010	100	0
Bastrop_Energy_Center_1	2002	100	0
Baytown_Energy_Center	2002	100	0
Bosque_County_CC_1	2000	100	0
Bosque_County_CC_2	2000	100	0
Brazos_Valley_1	2003	100	0
C_R_Wing_Cogen_Plant	1987	100	0
Calenergy_Falcon_seaboard_1	1987	100	0
Cedar_Bayou_4	2009	100	0
Channel_Energy_Center	2001	100	0
Channelview_Cogen_Plant	2008	100	0
Colorado_Bend_Energy_Center_1	2007	100	0
Colorado_Bend_Energy_Center_2	2017	100	0
Corpus_Christi_Energy_Center	2002	100	0
Deer_Park_Energy_Center_1	2003	100	0
Ennis_Power_Station_1	2002	100	0
Ferguson_Replacement	2014	100	0
Forney_Energy_Center_1	2003	100	0
Forney_Energy_Center_2	2003	100	0
Freestone_Energy_Center_1	2002	100	0
Freestone_Energy_Center_2	2002	100	0
Frontera_1	1999	100	0
Green_Power_2	2003	100	0
Gregory_Power_Facility	2000	100	0
Guadalupe_Generating_Station_1	2000	100	0
Guadalupe_Generating_Station_2	2000	100	0
Hays_Energy_Facility_1	2002	100	0
Hays_Energy_Facility_2	2002	100	0
Hays_Energy_Facility_3	2002	100	0
Hays_Energy_Facility_4	2002	100	0
Hidalgo_1	2000	100	0
Houston_Chemical_Complex_Btlgnd	1982	100	0
Ingleside_Cogeneration	1999	100	0
Jack_County_Generation_Facility_1	2006	100	0
Jack_County_Generation_Facility_2	2011	100	0
Johnson_County	1997	100	0
Kiamichi_Energy_Facility_1	2003	100	0
Kiamichi_Energy_Facility_2	2003	100	0
Lamar_Power_Project_1	2000	100	0
Lamar_Power_Project_2	2000	100	0
Lost_Pines_1	2001	100	0
Magic_Valley_1	2001	100	0
Midlothian_1	2001	100	0
Midlothian_2	2001	100	0
Midlothian_3	2001	100	0
Midlothian_4	2001	100	0
Midlothian_5	2002	100	0
Midlothian_6	2002	100	0
New_Gulf_Cogen	1984	100	0
Nueces_Bay_8	1972	100	0
Odessa_Ector_Generating_Station_1	2001	100	0
Odessa_Ector_Generating_station_2	2001	100	0
Optim_Energy_Altura_Cogen	1985	100	0
Oyster_Creek_Unit_VIII	1994	100	0
Panda_Sherman	2014	100	0
Panda_Temple_1	2014	100	0
Panda_Temple_2	2015	100	0
Paris_Energy_Center_1	1989	100	0
Pasadena_Cogeneration	2000	100	0
Quail_Run_Energy_1	2007	100	0
Quail_Run_Energy_2	2008	100	0
Rio_Nogales_1	2002	100	0
Sam_Rayburn_10	2003	100	0
Sand_Hill_Energy_Center_5a	2004	100	0
Signal_Hill_Wichita_Falls_NGCC	1987	100	0
Silas_Ray_69	1962	100	0
T_H_Wharton_3	1972	100	0
T_H_Wharton_4	1974	100	0
Tenaska_Frontier_1	2000	100	0
Tenaska_Gateway_1	2001	100	0
Texas_City_1	2000	100	0
Victoria_Power_Station	1963	100	0
Wise_County_Power_LP	2004	100	0
Wolf_Hollow_Power_Proj_1	2002	100	0
Antelope_IC_1	2016	100	0
Antelope_IC_2	2016	100	0
Antelope_IC_3	2016	100	0
Pearsall_Power_C10	2009	100	0
Pearsall_Power_C11	2009	100	0
Pearsall_Power_C12	2009	100	0
Pearsall_Power_C13	2009	100	0
Pearsall_Power_C14	2009	100	0
Pearsall_Power_C15	2009	100	0
Pearsall_Power_C16	2009	100	0
Pearsall_Power_C17	2009	100	0
Pearsall_Power_C18	2009	100	0
Pearsall_Power_C19	2009	100	0
Pearsall_Power_C20	2009	100	0
Pearsall_Power_C21	2009	100	0
Pearsall_Power_C22	2009	100	0
Pearsall_Power_C23	2009	100	0
Pearsall_Power_C24	2009	100	0
Pearsall_Power_IC1	2009	100	0
Pearsall_Power_IC2	2009	100	0
Pearsall_Power_IC3	2009	100	0
Pearsall_Power_IC4	2009	100	0
Pearsall_Power_IC5	2009	100	0
Pearsall_Power_IC6	2009	100	0
Pearsall_Power_IC7	2009	100	0
