gen_tech,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr
Biomass,Biomass,2017,0.0,0.0,0.0
Coal,Coal-Lig,2017,5189.69115,0.0,6010564.71046
Coal,Coal-Sub,2017,5364.13455,0.0,6026244.76748
Hydro,Hydro,2017,4744.1592,0.0,0.0
NGBlr-GSSUP,NGBlr,2017,3962.67310418,0.0,2531183.55899
NGBlr-GSSUp,NGBlr,2017,0.0,0.0,0.0
NGBlr-Non-reheat,NGBlr,2017,0.0,0.0,0.0
NGBlr-Reheat,NGBlr,2017,1183.4525823,0.0,804151.215057
NGCC-E_Class,NGCC,2017,50.2649736163,0.0,25313.8064484
NGCC-F_Class,NGCC,2017,30954.4025843,0.0,14540620.8816
NGCC-G&H_Class,NGCC,2017,0.0,0.0,0.0
NGCC-LM6000,NGCC,2017,0.0,0.0,0.0
NGIC,NGIC,2017,1435.8708,0.0,797350.163694
Nucl,Nucl,2017,3383.13862278,0.0,0.0
OCGT-E_Class,OCGT,2017,5401.66132714,0.0,4429719.91019
OCGT-LM6000,OCGT,2017,2577.204,0.0,1431494.20317
OCGT-LMS100,OCGT,2017,0.0,0.0,0.0
OCGT-Older,OCGT,2017,121.564003962,0.0,103132.193743
