GENERATION_PROJECT	build_year	gen_predetermined_cap
Big_Brown_1	1971	592.025
Big_Brown_2	1972	611.925
Coleto_Creek	1980	630.83
Fayette_Power_Project_1	1979	616.9
Fayette_Power_Project_2	1980	611.925
Fayette_Power_Project_3	1988	447.75
Gibbons_Creek_1	1983	467.65
J_K_Spruce_1	1992	562.175
J_K_Spruce_2	2010	768.14
J_T_Deely_1	1977	442.775
J_T_Deely_2	1978	442.775
Limestone_1	1985	826.845
Limestone_2	1986	853.71
Martin_Lake_1	1977	810.925
Martin_Lake_2	1978	802.965
Martin_Lake_3	1979	781.075
Monticello_1	1974	590.035
Monticello_2	1975	590.035
Monticello_3	1978	791.025
Oak_Grove_SES_Unit_1	2010	840
Oak_Grove_SES_Unit_2	2011	825
Oklaunion_1	1986	646.75
San_Miguel_1	1982	393.025
Sandow_4	1981	565.16
Sandow_5	2010	557.2
Sandy_Creek_1	2013	970
Twin_Oaks_1	1990	157.21
Twin_Oaks_2	1991	157.21
W_A_Parish_5	1977	641.775
W_A_Parish_6	1978	646.75
W_A_Parish_7	1980	562.175
W_A_Parish_8	1982	597
Lufkin_&_Nacogdoches_Biomass_Plants	2012	147
All_ERCOT_Hydro	2017	541.2
B_M_Davis_1	1974	331.65
Cedar_Bayou_1	1970	737.55
Cedar_Bayou_2	1972	741.51
Dansby_1	1978	108.9
Decker_Creek_1	1971	316.8
Decker_Creek_2	1978	423.72
Graham_1	1960	222.75
Graham_2	1969	386.1
Greens_Bayou_STG_U1	2016	371
Handley_3	1963	391.05
Handley_4	1976	430.65
Handley_5	1977	431.64
Lake_Hubbard_1	1970	388.08
Lake_Hubbard_2	1973	518.76
Mountain_Creek_6	1956	120.78
Mountain_Creek_7	1958	116.82
Mountain_Creek_8	1967	562.32
O_W_Sommers_1	1972	405.9
O_W_Sommers_2	1974	396
Pearsall_1	1961	24.75
Pearsall_2	1961	24.75
Pearsall_3	1961	23.76
Powerlane_Plant_1	1966	19.8
Powerlane_Plant_2	1967	26.235
Powerlane_Plant_3	1978	41.481
R_W_Miller_1	1968	74.25
R_W_Miller_2	1972	118.8
R_W_Miller_3	1975	205.92
Ray_Olinger_1	1967	77.22
Ray_Olinger_2	1971	105.93
Ray_Olinger_3	1975	144.54
Sim_Gideon_1	1965	138.6
Sim_Gideon_2	1968	138.6
Sim_Gideon_3	1972	336.6
Spencer_STG_U4	1966	61
Spencer_STG_U5	1973	61
Stryker_Creek_1	1958	169.29
Stryker_Creek_2	1965	496.98
Trinidad_6	1965	223.74
V_H_Braunig_1	1966	217.8
V_H_Braunig_2	1968	227.7
V_H_Braunig_3	1970	407.88
W_A_Parish_1	1958	172.26
W_A_Parish_2	1958	172.26
W_A_Parish_3	1961	275.22
W_A_Parish_4	1968	546.48
Arthur_Von_Rosenberg_1	2000	526.5
B_M_Davis_3	2010	716.76
Bastrop_Energy_Center_1	2002	577.2
Baytown_Energy_Center	2002	888.0766
Bosque_County_CC_1	2000	498.225
Bosque_County_CC_2	2000	319.8
Brazos_Valley_1	2003	591.825
C_R_Wing_Cogen_Plant	1987	223.79
Calenergy_Falcon_seaboard_1	1987	214.5
Cedar_Bayou_4	2009	606.45
Channel_Energy_Center	2001	705.705
Channelview_Cogen_Plant	2008	896.2608
Colorado_Bend_Energy_Center_1	2007	252.525
Colorado_Bend_Energy_Center_2	2017	252.525
Corpus_Christi_Energy_Center	2002	554.782
Deer_Park_Energy_Center_1	2003	970.104
Ennis_Power_Station_1	2002	349.05
Ferguson_Replacement	2014	570
Forney_Energy_Center_1	2003	921.375
Forney_Energy_Center_2	2003	921.375
Freestone_Energy_Center_1	2002	507
Freestone_Energy_Center_2	2002	507
Frontera_1	1999	524
Green_Power_2	2003	209.223
Gregory_Power_Facility	2000	416.88
Guadalupe_Generating_Station_1	2000	503.1
Guadalupe_Generating_Station_2	2000	495.3
Hays_Energy_Facility_1	2002	231.075
Hays_Energy_Facility_2	2002	231.075
Hays_Energy_Facility_3	2002	240.825
Hays_Energy_Facility_4	2002	240.825
Hidalgo_1	2000	499.2
Houston_Chemical_Complex_Btlgnd	1982	93.9708
Ingleside_Cogeneration	1999	531.2058
Jack_County_Generation_Facility_1	2006	624
Jack_County_Generation_Facility_2	2011	624
Johnson_County	1997	282.6
Kiamichi_Energy_Facility_1	2003	648.375
Kiamichi_Energy_Facility_2	2003	648.375
Lamar_Power_Project_1	2000	528.45
Lamar_Power_Project_2	2000	528.45
Lost_Pines_1	2001	540.15
Magic_Valley_1	2001	731.25
Midlothian_1	2001	231.075
Midlothian_2	2001	231.075
Midlothian_3	2001	231.075
Midlothian_4	2001	231.075
Midlothian_5	2002	240.825
Midlothian_6	2002	240.825
New_Gulf_Cogen	1984	91.2
Nueces_Bay_8	1972	705.9
Odessa_Ector_Generating_Station_1	2001	517.725
Odessa_Ector_Generating_station_2	2001	521.625
Optim_Energy_Altura_Cogen	1985	524.534
Oyster_Creek_Unit_VIII	1994	481.4693
Panda_Sherman	2014	809
Panda_Temple_1	2014	791
Panda_Temple_2	2015	717.1
Paris_Energy_Center_1	1989	244.25
Pasadena_Cogeneration	2000	793.81
Quail_Run_Energy_1	2007	235.95
Quail_Run_Energy_2	2008	235.95
Rio_Nogales_1	2002	826.8
Sam_Rayburn_10	2003	186.225
Sand_Hill_Energy_Center_5a	2004	316.875
Signal_Hill_Wichita_Falls_NGCC	1987	68.85
Silas_Ray_69	1962	57.42
T_H_Wharton_3	1972	323.7
T_H_Wharton_4	1974	323.7
Tenaska_Frontier_1	2000	906.75
Tenaska_Gateway_1	2001	885.3
Texas_City_1	2000	433.8
Victoria_Power_Station	1963	290
Wise_County_Power_LP	2004	789.75
Wolf_Hollow_Power_Proj_1	2002	771.225
Antelope_IC_1	2016	54.6
Antelope_IC_2	2016	54.6
Antelope_IC_3	2016	54.6
Pearsall_Power_C10	2009	8.4
Pearsall_Power_C11	2009	8.4
Pearsall_Power_C12	2009	8.4
Pearsall_Power_C13	2009	8.4
Pearsall_Power_C14	2009	8.4
Pearsall_Power_C15	2009	8.4
Pearsall_Power_C16	2009	8.4
Pearsall_Power_C17	2009	8.4
Pearsall_Power_C18	2009	8.4
Pearsall_Power_C19	2009	8.4
Pearsall_Power_C20	2009	8.4
Pearsall_Power_C21	2009	8.4
Pearsall_Power_C22	2009	8.4
Pearsall_Power_C23	2009	8.4
Pearsall_Power_C24	2009	8.4
Pearsall_Power_IC1	2009	8.4
Pearsall_Power_IC2	2009	8.4
Pearsall_Power_IC3	2009	8.4
Pearsall_Power_IC4	2009	8.4
Pearsall_Power_IC5	2009	8.4
Pearsall_Power_IC6	2009	8.4
Pearsall_Power_IC7	2009	8.4
Pearsall_Power_IC8	2009	8.4
Pearsall_Power_IC9	2009	8.4
Powerlane_GRNV_IC1	1966	8.3
Powerlane_GRNV_IC2	1966	8.3
Powerlane_GRNV_IC3	1966	8.3
Redgate_A	2016	56.3
Redgate_B	2016	56.3
Redgate_C	2016	56.3
Redgate_D	2016	56.3
Sky_Global_Power_One_A	2016	26.7
Sky_Global_Power_One_B	2016	26.7
Commanche_Peak_1	1990	1230
Commanche_Peak_2	1993	1179
STP_1	1988	1363
STP_2	1989	1360
Bayou_Cogen_Plant	1984	121.5
BP_Chemicals_Green_Lake_Plant	1989	10.5924
Bryan_Atkins_7	1973	19.8
Corpus_Christi	2002	14.145
Dansby_2	2004	47.04
Dansby_3	2010	47.04
Decker_Creek_G1	1989	52.92
Decker_Creek_G2	1989	52.92
Decker_Creek_G3	1989	52.92
Decker_Creek_G4	1989	52.92
DeCordova_A	1990	82.32
DeCordova_B	1990	82.32
DeCordova_C	1990	82.32
DeCordova_D	1990	82.32
Ector_County_Energy_CTG_1	2015	147
Ector_County_Energy_CTG_2	2015	147
Elk_Station_CTG_1	2016	190
Elk_Station_CTG_2	2016	190
Elk_Station_CTG_3	2016	190
ExTex_La_Porte_Power_Station_AirPro_1	1976	40.18
ExTex_La_Porte_Power_Station_AirPro_2	1976	40.18
ExTex_La_Porte_Power_Station_AirPro_3	1976	40.18
ExTex_La_Porte_Power_Station_AirPro_4	1976	40.18
ExxonMobile_Baytown_Refinery	2005	19.3257
