gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr
Biomass,Northeast,Biomass,2017,26.0643009237,0.0,45426.1087332
Coal,Coast,Coal-Sub,2017,1972.79680667,0.0,2150479.74121
Coal,Northeast,Coal-Lig,2017,11578.2793281,0.0,11719800.5967
Coal,Northeast,Coal-Sub,2017,2022.60521918,0.0,2234420.85741
Coal,South,Coal-Lig,2017,0.0,0.0,0.0
Coal,South,Coal-Sub,2017,663.677851143,0.0,753717.277495
Hydro,Northeast,Hydro,2017,324.105532041,0.0,0.0
NGBlr-GSSUP,Coast,NGBlr,2017,1216.64712664,0.0,777001.836583
NGBlr-GSSUP,Northeast,NGBlr,2017,541.39090198,0.0,343572.429461
NGBlr-GSSUp,Coast,NGBlr,2017,431.56494097,0.0,272881.743458
NGBlr-Non-reheat,Northeast,NGBlr,2017,55.4558147509,0.0,47289.6439216
NGBlr-Non-reheat,South,NGBlr,2017,0.0,0.0,0.0
NGBlr-Reheat,Coast,NGBlr,2017,907.773388655,0.0,617558.742748
NGBlr-Reheat,Northeast,NGBlr,2017,4377.23496671,0.0,3082313.53859
NGBlr-Reheat,South,NGBlr,2017,55.2541195297,0.0,39489.9504723
NGCC-E_Class,Coast,NGCC,2017,1280.51740796,0.0,488159.645187
NGCC-E_Class,Northeast,NGCC,2017,35.684925,0.0,15704.0647181
NGCC-E_Class,South,NGCC,2017,4845.14758675,0.0,1767227.11214
NGCC-E_Class,West,NGCC,2017,428.857416184,0.0,218075.503953
NGCC-F_Class,Coast,NGCC,2017,8353.58552683,0.0,4281825.99265
NGCC-F_Class,Northeast,NGCC,2017,2040.40148698,0.0,857610.50911
NGCC-F_Class,South,NGCC,2017,336.792910924,0.0,146481.469415
NGCC-F_Class,West,NGCC,2017,12030.4398296,0.0,5595528.17129
NGCC-G&H_Class,Coast,NGCC,2017,294.452600238,0.0,243753.437218
NGCC-G&H_Class,Northeast,NGCC,2017,933.97423666,0.0,435100.007551
NGCC-G&H_Class,South,NGCC,2017,0.0,0.0,0.0
NGCC-LM6000,Coast,NGCC,2017,147.578325025,0.0,80431.7053984
NGCC-LM6000,South,NGCC,2017,0.0,0.0,0.0
NGIC,Northeast,NGIC,2017,4.0421,0.0,2361.06666574
NGIC,South,NGIC,2017,0.0,0.0,0.0
NGIC,West,NGIC,2017,439.325620444,0.0,243960.915826
Nucl,Coast,Nucl,2017,1842.9590394,0.0,0.0
Nucl,Northeast,Nucl,2017,3160.9558719,0.0,0.0
OCGT-E_Class,Coast,OCGT,2017,1002.46062577,0.0,803097.53565
OCGT-E_Class,Northeast,OCGT,2017,66.5320511218,0.0,45929.9506638
OCGT-E_Class,South,OCGT,2017,0.0,0.0,0.0
OCGT-E_Class,West,OCGT,2017,2200.39524878,0.0,1773641.89935
OCGT-LM6000,Coast,OCGT,2017,164.49767172,0.0,114667.682106
OCGT-LM6000,Northeast,OCGT,2017,100.151111724,0.0,55688.843551
OCGT-LM6000,South,OCGT,2017,0.0,0.0,0.0
OCGT-LM6000,West,OCGT,2017,163.798271321,0.0,90980.8753536
OCGT-LMS100,South,OCGT,2017,0.0,0.0,0.0
OCGT-Older,Coast,OCGT,2017,405.05105387,0.0,348346.615281
OCGT-Older,Northeast,OCGT,2017,74.2996238106,0.0,63034.1461956
OCGT-Older,South,OCGT,2017,0.0,0.0,0.0
