load_zone	timestamp	ZoneTotalCentralDispatch	ZoneTotalDistributedDispatch	zone_demand_mw
West	2017040100	1371.48	0	1371.48
West	2017040101	1340.68	0	1340.68
West	2017040102	1289.63	0	1289.63
West	2017040103	1253.36	0	1253.36
West	2017040104	1231.14	0	1231.14
West	2017040105	1233.46	0	1233.46
West	2017040106	1260.65	0	1260.65
West	2017040107	1284.75	0	1284.75
West	2017040108	1325.34	0	1325.34
West	2017040109	1381.91	0	1381.91
West	2017040110	1423.87	0	1423.87
West	2017040111	1470.51	0	1470.51
West	2017040112	1513.8	0	1513.8
West	2017040113	1549.92	0	1549.92
West	2017040114	1579.12	0	1579.12
West	2017040115	1604.55	0	1604.55
West	2017040116	1620.67	0	1620.67
West	2017040117	1649.37	0	1649.37
West	2017040118	1752.63	0	1752.63
West	2017040119	1735.82	0	1735.82
West	2017040120	1687.79	0	1687.79
West	2017040121	1628.46	0	1628.46
West	2017040122	1542.91	0	1542.91
West	2017040123	1444.2	0	1444.2
West	2017040200	1349.76	0	1349.76
West	2017040201	1290.65	0	1290.65
West	2017040202	1252.46	0	1252.46
West	2017040203	1241.18	0	1241.18
West	2017040204	1249.78	0	1249.78
West	2017040205	1288.45	0	1288.45
West	2017040206	1357.32	0	1357.32
West	2017040207	1400.23	0	1400.23
West	2017040208	1458.42	0	1458.42
West	2017040209	1547.51	0	1547.51
West	2017040210	1636.1	0	1636.1
West	2017040211	1703.46	0	1703.46
West	2017040212	1743.82	0	1743.82
West	2017040213	1782.3	0	1782.3
West	2017040214	1814.99	0	1814.99
West	2017040215	1833.56	0	1833.56
West	2017040216	1834.58	0	1834.58
West	2017040217	1825.7	0	1825.7
West	2017040218	1896.85	0	1896.85
West	2017040219	1862.01	0	1862.01
West	2017040220	1795.12	0	1795.12
West	2017040221	1702.73	0	1702.73
West	2017040222	1580.89	0	1580.89
West	2017040223	1441.56	0	1441.56
West	2017040300	1334.46	0	1334.46
West	2017040301	1271.78	0	1271.78
West	2017040302	1246.88	0	1246.88
West	2017040303	1251.97	0	1251.97
West	2017040304	1287.02	0	1287.02
West	2017040305	1406.57	0	1406.57
West	2017040306	1605.72	0	1605.72
West	2017040307	1698.58	0	1698.58
West	2017040308	1689.69	0	1689.69
West	2017040309	1669.18	0	1669.18
West	2017040310	1669.39	0	1669.39
West	2017040311	1674.73	0	1674.73
West	2017040312	1696.63	0	1696.63
West	2017040313	1739.79	0	1739.79
West	2017040314	1768.58	0	1768.58
West	2017040315	1786.17	0	1786.17
West	2017040316	1785.03	0	1785.03
West	2017040317	1779.55	0	1779.55
West	2017040318	1879.99	0	1879.99
West	2017040319	1854.44	0	1854.44
West	2017040320	1805.44	0	1805.44
West	2017040321	1724.96	0	1724.96
West	2017040322	1614.68	0	1614.68
West	2017040323	1492.72	0	1492.72
West	2017040400	1402.37	0	1402.37
West	2017040401	1372.31	0	1372.31
West	2017040402	1357.32	0	1357.32
West	2017040403	1380.94	0	1380.94
West	2017040404	1456.34	0	1456.34
West	2017040405	1611.28	0	1611.28
West	2017040406	1864.64	0	1864.64
West	2017040407	1966.92	0	1966.92
West	2017040408	1964.22	0	1964.22
West	2017040409	1973.38	0	1973.38
West	2017040410	1960.69	0	1960.69
West	2017040411	1950.85	0	1950.85
West	2017040412	1916.97	0	1916.97
West	2017040413	1877.74	0	1877.74
West	2017040414	1824.24	0	1824.24
West	2017040415	1803.87	0	1803.87
West	2017040416	1830.96	0	1830.96
West	2017040417	1948.19	0	1948.19
West	2017040418	2102.97	0	2102.97
West	2017040419	2119.63	0	2119.63
West	2017040420	2103.69	0	2103.69
West	2017040421	2034.19	0	2034.19
West	2017040422	1907.45	0	1907.45
West	2017040423	1764.22	0	1764.22
West	2017040500	1671.69	0	1671.69
West	2017040501	1604.22	0	1604.22
West	2017040502	1563.21	0	1563.21
West	2017040503	1549.14	0	1549.14
West	2017040504	1571.91	0	1571.91
West	2017040505	1691.51	0	1691.51
West	2017040506	1883.34	0	1883.34
West	2017040507	1927.1	0	1927.1
West	2017040508	1859.43	0	1859.43
West	2017040509	1828.51	0	1828.51
West	2017040510	1793.65	0	1793.65
West	2017040511	1747.27	0	1747.27
West	2017040512	1712.79	0	1712.79
West	2017040513	1695.4	0	1695.4
West	2017040514	1684.08	0	1684.08
West	2017040515	1690.55	0	1690.55
West	2017040516	1726.55	0	1726.55
West	2017040517	1821.81	0	1821.81
West	2017040518	1976.46	0	1976.46
West	2017040519	2023.13	0	2023.13
West	2017040520	2046.55	0	2046.55
West	2017040521	2029.95	0	2029.95
West	2017040522	1954.85	0	1954.85
West	2017040523	1866.31	0	1866.31
West	2017040600	1826.73	0	1826.73
West	2017040601	1829.69	0	1829.69
West	2017040602	1849.85	0	1849.85
West	2017040603	1892.42	0	1892.42
West	2017040604	1982.38	0	1982.38
West	2017040605	2170.13	0	2170.13
West	2017040606	2447.66	0	2447.66
West	2017040607	2585.77	0	2585.77
West	2017040608	2604.5	0	2604.5
West	2017040609	2655.22	0	2655.22
West	2017040610	2705.01	0	2705.01
West	2017040611	2717.91	0	2717.91
West	2017040612	2711	0	2711
West	2017040613	2702.25	0	2702.25
West	2017040614	2698.17	0	2698.17
West	2017040615	2744.24	0	2744.24
West	2017040616	2826.49	0	2826.49
West	2017040617	2943.03	0	2943.03
West	2017040618	3083.9	0	3083.9
West	2017040619	3089.47	0	3089.47
West	2017040620	3079.16	0	3079.16
West	2017040621	3038.55	0	3038.55
West	2017040622	2954.65	0	2954.65
West	2017040623	2880.85	0	2880.85
West	2017040700	2815.62	0	2815.62
West	2017040701	2785.26	0	2785.26
West	2017040702	2785.31	0	2785.31
West	2017040703	2807.35	0	2807.35
West	2017040704	2853.58	0	2853.58
West	2017040705	2944.2	0	2944.2
West	2017040706	3056.63	0	3056.63
West	2017040707	3148.78	0	3148.78
West	2017040708	3160.22	0	3160.22
West	2017040709	3087.09	0	3087.09
West	2017040710	2944	0	2944
West	2017040711	2760.34	0	2760.34
West	2017040712	2567.37	0	2567.37
West	2017040713	2385.06	0	2385.06
West	2017040714	2248.11	0	2248.11
West	2017040715	2162.17	0	2162.17
West	2017040716	2141.95	0	2141.95
West	2017040717	2272.83	0	2272.83
West	2017040718	2525.72	0	2525.72
West	2017040719	2629.08	0	2629.08
West	2017040720	2692.11	0	2692.11
West	2017040721	2708.21	0	2708.21
West	2017040722	2686.07	0	2686.07
West	2017040723	2647.75	0	2647.75
West	2017040800	2622.27	0	2622.27
West	2017040801	2619.1	0	2619.1
West	2017040802	2627.27	0	2627.27
West	2017040803	2652.11	0	2652.11
West	2017040804	2702.58	0	2702.58
West	2017040805	2773.3	0	2773.3
West	2017040806	2864.43	0	2864.43
West	2017040807	2936.26	0	2936.26
West	2017040808	2901.37	0	2901.37
West	2017040809	2750.11	0	2750.11
West	2017040810	2583.8	0	2583.8
West	2017040811	2410.53	0	2410.53
West	2017040812	2241.66	0	2241.66
West	2017040813	2080.8	0	2080.8
West	2017040814	1974.68	0	1974.68
West	2017040815	1913.17	0	1913.17
West	2017040816	1930.95	0	1930.95
West	2017040817	2045.23	0	2045.23
West	2017040818	2217.04	0	2217.04
West	2017040819	2259.64	0	2259.64
West	2017040820	2255	0	2255
West	2017040821	2186.26	0	2186.26
West	2017040822	2059.53	0	2059.53
West	2017040823	1913.15	0	1913.15
West	2017040900	1794.47	0	1794.47
West	2017040901	1738.1	0	1738.1
West	2017040902	1725.38	0	1725.38
West	2017040903	1742.45	0	1742.45
West	2017040904	1809.32	0	1809.32
West	2017040905	1970.71	0	1970.71
West	2017040906	2215.11	0	2215.11
West	2017040907	2260.89	0	2260.89
West	2017040908	2161.45	0	2161.45
West	2017040909	2047.01	0	2047.01
West	2017040910	1912.5	0	1912.5
West	2017040911	1812.43	0	1812.43
West	2017040912	1743.94	0	1743.94
West	2017040913	1696.37	0	1696.37
West	2017040914	1664.2	0	1664.2
West	2017040915	1651.89	0	1651.89
West	2017040916	1661.31	0	1661.31
West	2017040917	1702.81	0	1702.81
West	2017040918	1843.66	0	1843.66
West	2017040919	1849.83	0	1849.83
West	2017040920	1822.46	0	1822.46
West	2017040921	1744.27	0	1744.27
West	2017040922	1613.05	0	1613.05
West	2017040923	1470.02	0	1470.02
West	2017041000	1391.73	0	1391.73
West	2017041001	1331.65	0	1331.65
West	2017041002	1309.94	0	1309.94
West	2017041003	1309.18	0	1309.18
West	2017041004	1343.43	0	1343.43
West	2017041005	1455.11	0	1455.11
West	2017041006	1683.56	0	1683.56
West	2017041007	1747.39	0	1747.39
West	2017041008	1701.92	0	1701.92
West	2017041009	1682.49	0	1682.49
West	2017041010	1672.94	0	1672.94
West	2017041011	1669.39	0	1669.39
West	2017041012	1677.73	0	1677.73
West	2017041013	1690.64	0	1690.64
West	2017041014	1711.87	0	1711.87
West	2017041015	1730.19	0	1730.19
West	2017041016	1749.89	0	1749.89
West	2017041017	1765.93	0	1765.93
West	2017041018	1868.61	0	1868.61
West	2017041019	1866.1	0	1866.1
West	2017041020	1819.33	0	1819.33
West	2017041021	1733.31	0	1733.31
West	2017041022	1601.78	0	1601.78
West	2017041023	1446.43	0	1446.43
West	2017041100	1334.55	0	1334.55
West	2017041101	1274.2	0	1274.2
West	2017041102	1244.2	0	1244.2
West	2017041103	1232.39	0	1232.39
West	2017041104	1256.45	0	1256.45
West	2017041105	1361.34	0	1361.34
West	2017041106	1574.47	0	1574.47
West	2017041107	1649.84	0	1649.84
West	2017041108	1624.52	0	1624.52
West	2017041109	1643.32	0	1643.32
West	2017041110	1666.87	0	1666.87
West	2017041111	1692.67	0	1692.67
West	2017041112	1715.15	0	1715.15
West	2017041113	1751.29	0	1751.29
West	2017041114	1783.74	0	1783.74
West	2017041115	1806.31	0	1806.31
West	2017041116	1825.45	0	1825.45
West	2017041117	1833.06	0	1833.06
West	2017041118	1923.46	0	1923.46
West	2017041119	1933.6	0	1933.6
West	2017041120	1888.23	0	1888.23
West	2017041121	1791.66	0	1791.66
West	2017041122	1657.32	0	1657.32
West	2017041123	1495.29	0	1495.29
West	2017041200	1367.85	0	1367.85
West	2017041201	1301.01	0	1301.01
West	2017041202	1261.17	0	1261.17
West	2017041203	1250.54	0	1250.54
West	2017041204	1263.27	0	1263.27
West	2017041205	1357.34	0	1357.34
West	2017041206	1560.81	0	1560.81
West	2017041207	1641.16	0	1641.16
West	2017041208	1630.9	0	1630.9
West	2017041209	1677.95	0	1677.95
West	2017041210	1730.49	0	1730.49
West	2017041211	1772.91	0	1772.91
West	2017041212	1803.78	0	1803.78
West	2017041213	1839.58	0	1839.58
West	2017041214	1861.09	0	1861.09
West	2017041215	1873.95	0	1873.95
West	2017041216	1879.8	0	1879.8
West	2017041217	1876.31	0	1876.31
West	2017041218	1964.19	0	1964.19
West	2017041219	1960.86	0	1960.86
West	2017041220	1919.99	0	1919.99
West	2017041221	1833.13	0	1833.13
West	2017041222	1697.36	0	1697.36
West	2017041223	1541.73	0	1541.73
West	2017041300	1440.91	0	1440.91
West	2017041301	1370.76	0	1370.76
West	2017041302	1330.58	0	1330.58
West	2017041303	1313.14	0	1313.14
West	2017041304	1328.14	0	1328.14
West	2017041305	1418.74	0	1418.74
West	2017041306	1611.66	0	1611.66
West	2017041307	1698.14	0	1698.14
West	2017041308	1702.19	0	1702.19
West	2017041309	1754.92	0	1754.92
West	2017041310	1823.69	0	1823.69
West	2017041311	1875.5	0	1875.5
West	2017041312	1908.85	0	1908.85
West	2017041313	1926.73	0	1926.73
West	2017041314	1929.58	0	1929.58
West	2017041315	1929.13	0	1929.13
West	2017041316	1912.13	0	1912.13
West	2017041317	1910.35	0	1910.35
West	2017041318	1968.77	0	1968.77
West	2017041319	1927.12	0	1927.12
West	2017041320	1871.75	0	1871.75
West	2017041321	1798.02	0	1798.02
West	2017041322	1702.39	0	1702.39
West	2017041323	1584.06	0	1584.06
West	2017041400	1405.71	0	1405.71
West	2017041401	1345.28	0	1345.28
West	2017041402	1296.68	0	1296.68
West	2017041403	1266.67	0	1266.67
West	2017041404	1252.99	0	1252.99
West	2017041405	1282.6	0	1282.6
West	2017041406	1353.04	0	1353.04
West	2017041407	1422.96	0	1422.96
West	2017041408	1513.36	0	1513.36
West	2017041409	1619.28	0	1619.28
West	2017041410	1692.86	0	1692.86
West	2017041411	1735.17	0	1735.17
West	2017041412	1742.3	0	1742.3
West	2017041413	1733.53	0	1733.53
West	2017041414	1720.38	0	1720.38
West	2017041415	1704.61	0	1704.61
West	2017041416	1676.51	0	1676.51
West	2017041417	1689.04	0	1689.04
West	2017041418	1778.88	0	1778.88
West	2017041419	1764.05	0	1764.05
West	2017041420	1717.31	0	1717.31
West	2017041421	1656.36	0	1656.36
West	2017041422	1577.21	0	1577.21
West	2017041423	1476.19	0	1476.19
West	2017041500	1389.45	0	1389.45
West	2017041501	1313.91	0	1313.91
West	2017041502	1273.56	0	1273.56
West	2017041503	1249.55	0	1249.55
West	2017041504	1246.42	0	1246.42
West	2017041505	1262.89	0	1262.89
West	2017041506	1316.39	0	1316.39
West	2017041507	1368.65	0	1368.65
West	2017041508	1443.98	0	1443.98
West	2017041509	1542.34	0	1542.34
West	2017041510	1605.16	0	1605.16
West	2017041511	1647.16	0	1647.16
West	2017041512	1682.73	0	1682.73
West	2017041513	1699.32	0	1699.32
West	2017041514	1707.67	0	1707.67
West	2017041515	1706.54	0	1706.54
West	2017041516	1688.85	0	1688.85
West	2017041517	1702.12	0	1702.12
West	2017041518	1762.67	0	1762.67
West	2017041519	1786.77	0	1786.77
West	2017041520	1754.97	0	1754.97
West	2017041521	1683.29	0	1683.29
West	2017041522	1578.62	0	1578.62
West	2017041523	1451.8	0	1451.8
West	2017041600	1337.16	0	1337.16
West	2017041601	1269.68	0	1269.68
West	2017041602	1224.18	0	1224.18
West	2017041603	1206.56	0	1206.56
West	2017041604	1229.19	0	1229.19
West	2017041605	1303.61	0	1303.61
West	2017041606	1436.3	0	1436.3
