LOAD_ZONE	TIMEPOINT	zone_demand_mw
Northeast	7297	2163.904314
Northeast	7298	2129.779438
Northeast	7299	2099.817066
Northeast	7300	2095.449152
Northeast	7301	2102.23674
Northeast	7302	2137.665056
Northeast	7303	2207.357492
Northeast	7304	2293.280446
Northeast	7305	2372.547738
Northeast	7306	2450.02459
Northeast	7307	2479.325224
Northeast	7308	2467.077594
Northeast	7309	2425.263746
Northeast	7310	2360.372482
Northeast	7311	2297.324336
Northeast	7312	2269.853994
Northeast	7313	2268.232282
Northeast	7314	2381.806822
Northeast	7315	2533.0688
Northeast	7316	2516.399304
Northeast	7317	2464.329972
Northeast	7318	2394.664938
Northeast	7319	2273.295236
Northeast	7320	2137.972692
Northeast	7321	2007.719192
Northeast	7322	1917.038201
Northeast	7323	1863.6249142
Northeast	7324	1850.0129444
Northeast	7325	1877.4817078
Northeast	7326	1958.6233528
Northeast	7327	2077.75649
Northeast	7328	2174.68055
Northeast	7329	2262.060602
Northeast	7330	2352.353422
Northeast	7331	2418.64406
Northeast	7332	2456.215382
Northeast	7333	2462.868792
Northeast	7334	2464.038264
Northeast	7335	2459.130318
Northeast	7336	2459.365224
Northeast	7337	2463.818846
Northeast	7338	2558.769396
Northeast	7339	2712.199254
Northeast	7340	2684.878798
Northeast	7341	2618.809976
Northeast	7342	2511.895744
Northeast	7343	2331.960204
Northeast	7344	2138.454974
Northeast	7345	2020.566096
Northeast	7346	1945.9051446
Northeast	7347	1916.645114
Northeast	7348	1929.814252
Northeast	7349	1995.7272244
Northeast	7350	2189.618282
Northeast	7351	2512.056084
Northeast	7352	2686.997528
Northeast	7353	2708.584034
Northeast	7354	2736.500102
Northeast	7355	2785.587262
Northeast	7356	2820.719222
Northeast	7357	2858.429494
Northeast	7358	2894.587044
Northeast	7359	2919.249156
Northeast	7360	2950.552082
Northeast	7361	3050.350354
Northeast	7362	3266.780302
Northeast	7363	3467.790784
Northeast	7364	3486.515396
Northeast	7365	3460.706076
Northeast	7366	3367.763802
Northeast	7367	3176.723616
Northeast	7368	2988.154554
Northeast	7369	2919.1294
Northeast	7370	2913.026066
Northeast	7371	2948.873202
Northeast	7372	3032.644482
Northeast	7373	3176.342566
