GENERATION_PROJECT	PERIOD	gen_tech	gen_load_zone	gen_energy_source	GenCapacity	GenCapitalCosts	GenFixedOMCosts
Redgate_D	2017	NGIC	South	NGIC	56.3	394.555	0
Pearsall_Power_IC6	2017	NGIC	South	NGIC	8.4	58.8678	0
Big_Brown_2	2017	Coal	Northeast	Coal-Sub	611.925	4288.42	0
J_K_Spruce_1	2017	Coal	South	Coal-Sub	562.175	3939.77	0
San_Jacinto_SES_1	2017	OCGT-E_Class	Coast	OCGT	78.975	553.463	0
T_H_Wharton_GT_56	2017	OCGT-E_Class	Coast	OCGT	56.84	398.339	0
Bosque_County_CC_2	2017	NGCC-F_Class	Northeast	NGCC	319.8	2241.18	0
V_H_Braunig_3	2017	NGBlr-Reheat	South	NGBlr	407.88	2858.45	0
Ray_Olinger_1	2017	NGBlr-Non-reheat	Northeast	NGBlr	77.22	541.164	0
Optim_Energy_Altura_Cogen	2017	NGCC-F_Class	Coast	NGCC	524.534	3675.97	0
W_A_Parish_7	2017	Coal	Coast	Coal-Sub	562.175	3939.77	0
Sand_Hill_GT_1	2017	OCGT-LM6000	South	OCGT	45.08	315.924	0
Morgan_Creek_C	2017	OCGT-E_Class	West	OCGT	79.38	556.301	0
Colorado_Bend_Energy_Center_2	2017	NGCC-E_Class	Coast	NGCC	252.525	1769.71	0
Ray_Olinger_3	2017	NGBlr-Reheat	Northeast	NGBlr	144.54	1012.95	0
BP_Chemicals_Green_Lake_Plant	2017	OCGT-E_Class	South	OCGT	10.5924	74.2323	0
Powerlane_Plant_1	2017	NGBlr-Non-reheat	Northeast	NGBlr	19.8	138.76	0
Antelope_IC_2	2017	NGIC	West	NGIC	54.6	382.641	0
Permian_Basin_B	2017	OCGT-E_Class	West	OCGT	69.58	487.622	0
Sandow_4	2017	Coal	South	Coal-Lig	565.16	3960.68	0
Permian_Basin_D	2017	OCGT-E_Class	West	OCGT	72.52	508.226	0
Pearsall_Power_C23	2017	NGIC	South	NGIC	8.4	58.8678	0
Sandy_Creek_1	2017	Coal	Northeast	Coal-Sub	970	6797.83	0
