GENERATION_PROJECT	build_year	gen_overnight_cost	gen_fixed_om
Austin_Area_LFG	2007	100	47.07
Dallas-Fort_Worth_Area_LFG	2015	100	47.07
Houston_Area_LFG	2002	100	47.07
San_Antonio_Area_LFG	2013	100	47.07
Lufkin_Biomass	2012	100	47.07
Nacogdoches_Power	2012	100	47.07
Limestone_2	1986	100	43.56
Oak_Grove_SES_Unit_1	2010	100	43.56
Oak_Grove_SES_Unit_2	2011	100	43.56
Sandow_U4	1981	100	43.56
Big_Brown_1	1971	100	43.56
Martin_Lake_1	1977	100	43.56
Martin_Lake_2	1978	100	43.56
Monticello_U2	1975	100	43.56
San_Miguel_1	1982	100	43.56
Sandow_U5	2010	100	43.56
Twin_Oaks_1	1990	100	43.56
Twin_Oaks_2	1991	100	43.56
Big_Brown_2	1972	100	43.56
Coleto_Creek	1980	100	43.56
Fayette_Power_Project_1	1979	100	43.56
Fayette_Power_Project_2	1980	100	43.56
Fayette_Power_Project_3	1988	100	43.56
Gibbons_Creek_1	1983	100	43.56
J_K_Spruce_1	1992	100	43.56
J_K_Spruce_2	2010	100	43.56
Limestone_1	1985	100	43.56
Oklaunion_1	1986	100	43.56
W_A_Parish_5	1977	100	43.56
W_A_Parish_6	1978	100	43.56
W_A_Parish_7	1980	100	43.56
W_A_Parish_8	1982	100	43.56
J_T_Deely_1	1977	100	43.56
J_T_Deely_2	1978	100	43.56
Martin_Lake_3	1979	100	43.56
Monticello_U1	1974	100	43.56
Monticello_U3	1978	100	43.56
Sandy_Creek_1	2013	100	43.56
Hydro_LCRA_LZ	1951	100	19.69
Hydro_North_LZ	2014	100	19.69
Hydro_RCEC_LZ	1948	100	19.69
Hydro_South_LZ	2005	100	19.69
Hydro_West_LZ	1983	100	19.69
Arthur_Von_Rosenberg_1	2000	100	25.28
B_M_Davis_3	2010	100	25.28
Bastrop_Energy_Center_1	2002	100	25.28
Bosque_County_CC_1	2009	100	25.28
Bosque_County_CC_2	2001	100	25.28
Brazos_Valley_1	2003	100	25.28
Cedar_Bayou_4	2009	100	25.28
Colorado_Bend_Energy_Center_1	2007	100	25.28
Colorado_Bend_Energy_Center_2	2008	100	25.28
Ennis_Power_Station_1	2002	100	25.28
Ferguson_Replacement	2014	100	25.28
Forney_Energy_Center_1	2003	100	25.28
Forney_Energy_Center_2	2003	100	25.28
Freestone_Energy_Center_1	2002	100	25.28
Frontera_1	1999	100	25.28
Guadalupe_Generating_Station_1	2000	100	25.28
Hays_Energy_Facility_1	2002	100	25.28
Hidalgo_1	2000	100	25.28
Jack_County_Generation_Facility_1	2005	100	25.28
Jack_County_Generation_Facility_2	2011	100	25.28
Johnson_County	1997	100	25.28
Lamar_Power_Project_1	2000	100	25.28
Lost_Pines_1	2001	100	25.28
Magic_Valley_Station	2001	100	25.28
Midlothian_1	2001	100	25.28
Midlothian_2	2002	100	25.28
Nueces_Bay_8	2010	100	25.28
Odessa_Ector_Generating_Station_1	2001	100	25.28
Panda_Sherman	2014	100	25.28
Panda_Temple_1	2014	100	25.28
Panda_Temple_II_CTG1	2015	100	25.28
Panda_Temple_II_CTG2	2015	100	25.28
Panda_Temple_II_STG	2015	100	25.28
Paris_Energy_Center_1	1990	100	25.28
Quail_Run_Energy_1	2008	100	25.28
Rio_Nogales_1	2002	100	25.28
Sam_Rayburn_10	2003	100	25.28
Sand_Hill_Energy_Center_5a	2004	100	25.28
Silas_Ray_9	1996	100	25.28
T_H_Wharton_3	1974	100	25.28
T_H_Wharton_4	1974	100	25.28
Tenaska_Frontier_Station	2000	100	25.28
Tenaska_Gateway_Station	2001	100	25.28
Tenaska_Kiamichi_Station_1	2003	100	25.28
Tenaska_Kiamichi_Station_2	2003	100	25.28
Victoria_Power_Station	2009	100	25.28
Wise_County_Power_LP	2004	100	25.28
Wolf_Hollow_Power_Proj_1	2002	100	25.28
Baytown_Energy_Center	2002	100	25.28
C_R_Wing_Cogen_Plant	1988	100	25.28
Channel_Energy_Center	2001	100	25.28
Channelview_Cogen_Plant	2008	100	25.28
