GENERATION_PROJECT	timepoint	gen_max_capacity_factor
Austin_Area_LFG	1	1
Austin_Area_LFG	2	1
Dallas-Fort_Worth_Area_LFG	1	1
Dallas-Fort_Worth_Area_LFG	2	1
Houston_Area_LFG	1	1
Houston_Area_LFG	2	1
San_Antonio_Area_LFG	1	1
San_Antonio_Area_LFG	2	1
Lufkin_Biomass	1	1
Lufkin_Biomass	2	1
Nacogdoches_Power	1	1
Nacogdoches_Power	2	1
Limestone_2	1	1
Limestone_2	2	1
Oak_Grove_SES_Unit_1	1	1
Oak_Grove_SES_Unit_1	2	1
Oak_Grove_SES_Unit_2	1	1
Oak_Grove_SES_Unit_2	2	1
Sandow_U4	1	1
Sandow_U4	2	1
Big_Brown_1	1	1
Big_Brown_1	2	1
Martin_Lake_1	1	1
Martin_Lake_1	2	1
Martin_Lake_2	1	1
Martin_Lake_2	2	1
Monticello_U2	1	1
Monticello_U2	2	1
San_Miguel_1	1	1
San_Miguel_1	2	1
Sandow_U5	1	1
Sandow_U5	2	1
Twin_Oaks_1	1	1
Twin_Oaks_1	2	1
Twin_Oaks_2	1	1
Twin_Oaks_2	2	1
Big_Brown_2	1	1
Big_Brown_2	2	1
Coleto_Creek	1	1
Coleto_Creek	2	1
Fayette_Power_Project_1	1	1
Fayette_Power_Project_1	2	1
Fayette_Power_Project_2	1	1
Fayette_Power_Project_2	2	1
Fayette_Power_Project_3	1	1
Fayette_Power_Project_3	2	1
Gibbons_Creek_1	1	1
Gibbons_Creek_1	2	1
J_K_Spruce_1	1	1
J_K_Spruce_1	2	1
J_K_Spruce_2	1	1
J_K_Spruce_2	2	1
Limestone_1	1	1
Limestone_1	2	1
Oklaunion_1	1	1
Oklaunion_1	2	1
W_A_Parish_5	1	1
W_A_Parish_5	2	1
W_A_Parish_6	1	1
W_A_Parish_6	2	1
W_A_Parish_7	1	1
W_A_Parish_7	2	1
W_A_Parish_8	1	1
W_A_Parish_8	2	1
J_T_Deely_1	1	1
J_T_Deely_1	2	1
J_T_Deely_2	1	1
J_T_Deely_2	2	1
Martin_Lake_3	1	1
Martin_Lake_3	2	1
Monticello_U1	1	1
Monticello_U1	2	1
Monticello_U3	1	1
Monticello_U3	2	1
Sandy_Creek_1	1	1
Sandy_Creek_1	2	1
Hydro_LCRA_LZ	1	1
Hydro_LCRA_LZ	2	1
Hydro_North_LZ	1	1
Hydro_North_LZ	2	1
Hydro_RCEC_LZ	1	1
Hydro_RCEC_LZ	2	1
Hydro_South_LZ	1	1
Hydro_South_LZ	2	1
Hydro_West_LZ	1	1
Hydro_West_LZ	2	1
Arthur_Von_Rosenberg_1	1	1
Arthur_Von_Rosenberg_1	2	1
B_M_Davis_3	1	1
B_M_Davis_3	2	1
Bastrop_Energy_Center_1	1	1
Bastrop_Energy_Center_1	2	1
Bosque_County_CC_1	1	1
Bosque_County_CC_1	2	1
Bosque_County_CC_2	1	1
