GEN_BLD_YRS_1	GEN_BLD_YRS_2	BuildGen
Miami_Wind_G2	2014	144.3
Channelview_Cogen_Plant	2008	861.0
Blue_Summit_Wind_6	2013	126.4
Papalote_Creek_Wind_Farm_II	2010	200.1
Panhandle_Wind_1_U1	2014	109.2
Barton_Chapel_Wind	2007	120.0
Lone_Star_Wind_1_(Mesquite)	2006	200.0
Sand_Hill_Energy_Center_5a	2004	295.0
Pearsall_IC_Engine_Plant_B	2012	50.6
San_Jacinto_SES_CTG_2	1995	81.0
Fayette_Power_Project_3	1988	437.0
Harbor_Wind	2012	9.0
Brazos_Valley_1	2003	602.0
Panther_Creek_2	2008	115.5
Panther_Creek_3	2009	199.5
T_H_Wharton_GT_51	1975	57.0
W_A_Parish_5	1977	659.0
Trinidad_6	1965	235.0
Senate_Wind	2012	150.0
W_A_Parish_Petra_Nova	2013	74.0
Ferguson_Replacement	2014	509.8
Stryker_Creek_2	1965	502.0
Mountain_Creek_7	1958	118.0
Oyster_Creek_Unit_VIII	1994	404.5
Pearsall_IC_Engine_Plant_C	2012	50.6
Martin_Lake_1	1977	800.0
Spinning_Spur_3_Wind_2	2015	98.0
Los_Vientos_Wind_III	2015	200.0
Laredo_Peaking_5	2008	87.3
Oak_Grove_SES_Unit_1	2010	840.0
Pecos_Wind_(Woodward_2)	2001	77.2
Hidalgo_1	2000	458.0
McAdoo_Wind_Farm	2008	150.0
Callahan_Wind	2004	114.0
Morgan_Creek_2	1988	68.0
T_H_Wharton_4	1974	332.0
Lamar_Power_Project_1	2000	1040.0
Clear_Lake_Cogeneration_Ltd	1985	384.9
Mesquite_Creek_Wind_1	2015	105.6
Stephens_Ranch_Wind_1	2014	211.2
Greens_Bayou_83	1976	56.0
T_H_Wharton_GT_56	1975	57.0
Greenville_Powerlane_IC1	2010	8.4
Loraine_Windpark_II	2009	51.0
Capricorn_Ridge_Wind_2	2008	186.0
Dallas-Fort_Worth_Area_LFG	2015	35.8
Monticello_U3	1978	795.0
South_Texas_U1	1988	1286.0
Blue_Wing_1_Solar	2010	7.6
DeCordova_1	1990	71.0
Winchester_Power_Park_3	2009	44.0
Capricorn_Ridge_Wind_4	2008	112.5
Morgan_Creek_5	1988	68.0
Powerlane_Plant_3	1978	41.0
R_W_Miller_1	1968	75.0
Decker_Creek_2	1978	420.0
Magic_Valley_Station	2001	670.2
Martin_Lake_2	1978	805.0
Barilla_Solar_(FS,_Pecos)	2014	22.0
Sand_Hill_Energy_Center_GT_3	2001	47.0
Rio_Nogales_1	2002	785.0
Dansby_2	2004	45.0
Trinity_Hills_Wind_2	2012	107.5
Sweetwater_Wind_1	2003	36.6
J_K_Spruce_2	2010	775.0
B_M_Davis_3	2010	633.0
Grandview_1_(Conway)_GV1B	2014	103.8
Magic_Valley_Wind_(Redfish)_1B	2012	103.5
Dansby_1	1978	107.0
West_Texas_Wind_Energy	1999	80.3
Johnson_County	1997	269.0
ExTex_La_Porte_Power_Station_AirPro_4	2009	38.0
Hays_Energy_Facility_1	2002	882.0
Handley_3	1963	395.0
WKN_Mozart_Wind	2012	30.0
V_H_Braunig_5	2009	48.0
Houston_Area_LFG	2002	24.5
ExTex_La_Porte_Power_Station_AirPro_2	2009	38.0
Red_Canyon_Wind	2006	84.0
Spinning_Spur_3_Wind_1	2015	96.0
Bull_Creek_Wind_Plant_U1	2009	88.0
Pearsall_IC_Engine_Plant_A	2012	50.6
OCI_Alamo_4_Solar_(Bracketville)	2014	37.6
Trinity_Hills_Wind_1	2012	117.5
Stephens_Ranch_Wind_2	2015	165.0
Bayou_Cogen_Plant	1985	165.6
Gulf_Wind_II	2010	141.6
Green_Mountain_Wind_(Brazos)_U2	2003	61.0
Horse_Hollow_Wind_1	2005	206.6
Quail_Run_Energy_1	2008	488.0
Tenaska_Frontier_Station	2000	880.0
Greens_Bayou_73	1976	46.0
Grandview_1_(Conway)_GV1A	2014	107.4
Turkey_Track_Wind_Energy_Center	2008	169.5
Cedar_Bayou_1	1970	745.0
Horse_Hollow_Wind_2	2006	158.0
Ray_Olinger_2	1971	107.0
R_W_Miller_4	1994	104.0
Renewable_Energy_Alternatives_CCS1	2015	2.0
Logan's_Gap_Wind_I_U2	2015	106.3
Snyder_Wind_Farm	2007	63.0
Morgan_Creek_6	1988	67.0
Silver_Star_Wind	2008	60.0
Twin_Oaks_1	1990	156.0
Comanche_Peak_U1	1990	1205.0
SunEdison_Somerset_2_Solar	2012	5.0
Equistar_Corpus_Christi	1989	12.0
Penascal_Wind_3	2011	100.8
Sand_Hill_Energy_Center_GT_7	2010	47.0
