GENERATION_PROJECT	PERIOD	gen_tech	gen_load_zone	gen_energy_source	GenCapacity	GenCapitalCosts	GenFixedOMCosts
Inadale_Wind	2020	Wind_WT	West	Wind	196.6	1377.79	5154.85
Coleto_Creek	2020	Coal-Sub_ST	South	Coal-Sub	660	4625.33	28749.6
Lake_Hubbard_2	2020	NG_ST	North	NG	523	3665.22	13221.4
Lone_Star_Wind_2_(Post_Oak)_U1	2020	Wind_WT	North	Wind	100	700.808	2622
Panda_Temple_II_CTG2	2020	NG_CCGT	North	NG	191.2	1339.94	4833.54
Papalote_Creek_Wind_Farm	2020	Wind-C_WT	South	Wind-C	179.9	1260.75	4716.98
Channelview_Cogen_Plant	2020	NG_CCGT-CHP	Houston	NG	861	6033.95	21766.1
Sandow_U4	2020	Coal-Lig_ST	South	Coal-Lig	570	3994.6	24829.2
Limestone_2	2020	Coal-Lig_ST	North	Coal-Lig	858	6012.93	37374.5
TSTC_West_Texas_Wind	2020	Wind_WT	West	Wind	2	14.0162	52.44
ExTex_La_Porte_Power_Station_AirPro_1	2020	NG_OCGT	Houston	NG	38	266.307	644.1
Forest_Creek_Wind_Farm	2020	Wind_WT	West	Wind	124.2	870.403	3256.52
Fayette_Power_Project_1	2020	Coal-Sub_ST	AEN	Coal-Sub	604	4232.88	26310.2
Blue_Wing_2_Solar	2020	Solar_PV	South	Solar	7.3	51.159	161.549
T_H_Wharton_3	2020	NG_CCGT	Houston	NG	332	2326.68	8392.96
Bastrop_Energy_Center_1	2020	NG_CCGT	South	NG	533	3735.3	13474.2
Ingleside_Cogeneration	2020	NG_CCGT-CHP	South	NG	478.4	3352.66	12094
Dansby_3	2020	NG_OCGT	North	NG	47	329.38	796.65
Nueces_Bay_8	2020	NG_CCGT	South	NG	633	4436.11	16002.2
Panhandle_Wind_1_U2	2020	Wind_WT	West	Wind	109.2	765.282	2863.22
Channel_Energy_Center	2020	NG_CCGT-CHP	Houston	NG	686.6	4811.75	17357.2
Sand_Hill_Energy_Center_5a	2020	NG_CCGT	AEN	NG	295	2067.38	7457.6
Leon_Creek_Peaking_1	2020	NG_OCGT	South	NG	46	322.372	779.7
Sweetwater_Wind_1	2020	Wind_WT	West	Wind	36.6	256.496	959.652
Big_Brown_1	2020	Coal-Lig_ST	North	Coal-Lig	606	4246.89	26397.4
Panda_Temple_II_CTG1	2020	NG_CCGT	North	NG	191.2	1339.94	4833.54
Texas_City_1	2020	NG_CCGT-CHP	Houston	NG	458.5	3213.2	11590.9
ExTex_La_Porte_Power_Station_AirPro_4	2020	NG_OCGT	Houston	NG	38	266.307	644.1
W_A_Parish_T1	2020	NG_OCGT	Houston	NG	13	91.105	253.37
Loraine_Windpark_I	2020	Wind_WT	West	Wind	49.5	346.9	1297.89
Gibbons_Creek_1	2020	Coal-Sub_ST	North	Coal-Sub	470	3293.8	20473.2
Permian_Basin_1	2020	NG_OCGT	West	NG	68	476.549	1719.04
SunEdison_Somerset_2_Solar	2020	Solar_PV	South	Solar	5	35.0404	110.65
Javelina_Wind_Energy	2020	Wind_WT	South	Wind	250	1752.02	6555
Grandview_1_(Conway)_GV1A	2020	Wind_WT	West	Wind	107.4	752.667	2816.03
Hereford_Wind_G	2020	Wind_WT	West	Wind	99.9	700.107	2619.38
T_H_Wharton_4	2020	NG_CCGT	Houston	NG	332	2326.68	8392.96
Mountain_Creek_6	2020	NG_ST	North	NG	122	854.985	3084.16
Panther_Creek_1	2020	Wind_WT	West	Wind	142.5	998.651	3736.35
Hydro_LCRA_LZ	2020	Hydro_HYDRO	LCRA	Hydro	280	1962.26	5513.2
Pearsall_IC_Engine_Plant_B	2020	NG_IC	South	NG	50.6	354.609	1279.17
T_H_Wharton_GT_51	2020	NG_OCGT	Houston	NG	57	399.46	966.15
