load_zone	timestamp	ZoneTotalCentralDispatch	ZoneTotalDistributedDispatch	zone_demand_mw
Houston	2025011512	8356.45	0	8356.45
Houston	2025011600	4178.23	0	4178.23
North	2025011512	17118	0	17118
North	2025011600	8559.02	0	8559.02
West	2025011512	7846.05	0	7846.05
West	2025011600	3923.03	0	3923.03
LCRA	2025011512	1565.4	0	1565.4
LCRA	2025011600	782.7	0	782.7
RCEC	2025011512	40	0	40
RCEC	2025011600	20	0	20
CPS	2025011512	1100.9	0	1100.9
CPS	2025011600	550.45	0	550.45
South	2025011512	9545.1	0	9545.1
South	2025011600	4772.55	0	4772.55
AEN	2025011512	1070.55	0	1070.55
AEN	2025011600	535.275	0	535.275
