GENERATION_PROJECT	build_year	gen_predetermined_cap
Austin_Area_LFG	2007	6.4
Dallas-Fort_Worth_Area_LFG	2015	35.8
Houston_Area_LFG	2002	24.5
San_Antonio_Area_LFG	2013	26.8
Lufkin_Biomass	2012	45
Nacogdoches_Power	2012	105
Limestone_2	1986	858
Oak_Grove_SES_Unit_1	2010	840
Oak_Grove_SES_Unit_2	2011	825
Sandow_U4	1981	570
Big_Brown_1	1971	606
Martin_Lake_1	1977	800
Martin_Lake_2	1978	805
Monticello_U2	1975	535
San_Miguel_1	1982	391
Sandow_U5	2010	600
Twin_Oaks_1	1990	156
Twin_Oaks_2	1991	156
Big_Brown_2	1972	602
Coleto_Creek	1980	660
Fayette_Power_Project_1	1979	604
Fayette_Power_Project_2	1980	599
Fayette_Power_Project_3	1988	437
Gibbons_Creek_1	1983	470
J_K_Spruce_1	1992	560
J_K_Spruce_2	2010	775
Limestone_1	1985	831
Oklaunion_1	1986	650
W_A_Parish_5	1977	659
W_A_Parish_6	1978	658
W_A_Parish_7	1980	577
W_A_Parish_8	1982	610
J_T_Deely_1	1977	420
J_T_Deely_2	1978	420
Martin_Lake_3	1979	805
Monticello_U1	1974	535
Monticello_U3	1978	795
Sandy_Creek_1	2013	970
Hydro_LCRA_LZ	1951	280
Hydro_North_LZ	2014	51.6
Hydro_RCEC_LZ	1948	80
Hydro_South_LZ	2005	67.7
Hydro_West_LZ	1983	75.8
Arthur_Von_Rosenberg_1	2000	458
B_M_Davis_3	2010	633
Bastrop_Energy_Center_1	2002	533
Bosque_County_CC_1	2009	514
Bosque_County_CC_2	2001	230.3
Brazos_Valley_1	2003	602
Cedar_Bayou_4	2009	504
Colorado_Bend_Energy_Center_1	2007	233
Colorado_Bend_Energy_Center_2	2008	235
Ennis_Power_Station_1	2002	312
Ferguson_Replacement	2014	509.8
Forney_Energy_Center_1	2003	911
Forney_Energy_Center_2	2003	911
Freestone_Energy_Center_1	2002	957.3
Frontera_1	1999	524
Guadalupe_Generating_Station_1	2000	986
Hays_Energy_Facility_1	2002	882
Hidalgo_1	2000	458
Jack_County_Generation_Facility_1	2005	595
Jack_County_Generation_Facility_2	2011	595
Johnson_County	1997	269
Lamar_Power_Project_1	2000	1040
Lost_Pines_1	2001	528
Magic_Valley_Station	2001	670.2
Midlothian_1	2001	940
Midlothian_2	2002	504
Nueces_Bay_8	2010	633
