LOAD_ZONE	TIMEPOINT	zone_demand_mw
Northeast	1	15848.66848
Northeast	2	15834.09868
Northeast	3	15807.61531
Northeast	4	15914.95351
Northeast	5	16252.86188
Northeast	6	16767.88303
Northeast	7	17235.66187
Northeast	8	17409.51958
Northeast	9	17134.76855
Northeast	10	16691.28669
Northeast	11	16032.62738
Northeast	12	15304.53049
Northeast	13	14481.57361
Northeast	14	13678.63579
Northeast	15	13015.56252
Northeast	16	12690.73457
Northeast	17	12647.50498
Northeast	18	13479.55665
Northeast	19	14551.61832
Northeast	20	14603.45412
Northeast	21	14587.02271
Northeast	22	14604.91747
Northeast	23	14524.19919
Northeast	24	14469.48095
Northeast	25	14705.31353
Northeast	26	15195.68129
Northeast	27	15856.98071
Northeast	28	16747.84136
Northeast	29	17845.27952
Northeast	30	19533.05164
Northeast	31	21367.57472
Northeast	32	22539.4888
Northeast	33	22550.69121
Northeast	34	22215.68262
Northeast	35	21646.2281
Northeast	36	20837.25183
Northeast	37	19891.58685
Northeast	38	18937.6876
Northeast	39	18161.09166
Northeast	40	17698.61607
Northeast	41	17856.55818
Northeast	42	19237.83544
Northeast	43	20906.48717
Northeast	44	21197.07649
Northeast	45	21287.60047
Northeast	46	20962.37523
Northeast	47	20184.65144
Northeast	48	19459.53038
Northeast	49	19007.4223
Northeast	50	18887.19847
Northeast	51	18929.96176
Northeast	52	19212.21659
Northeast	53	19790.32214
Northeast	54	20951.00306
Northeast	55	22300.46297
Northeast	56	23014.89496
Northeast	57	22492.06611
Northeast	58	21487.69652
Northeast	59	20586.07104
Northeast	60	19470.90814
Northeast	61	18408.3448
Northeast	62	17520.67946
Northeast	63	16786.7465
Northeast	64	16358.00746
Northeast	65	16432.89638
Northeast	66	17622.06604
Northeast	67	18924.17256
Northeast	68	19004.63309
Northeast	69	18987.22945
Northeast	70	18618.39218
Northeast	71	17947.7737
Northeast	72	17123.46496
Northeast	73	16510.8628
Northeast	74	16078.86698
Northeast	75	15941.31529
Northeast	76	15890.53558
Northeast	77	16080.48968
Northeast	78	16553.53193
Northeast	79	17239.21146
Northeast	80	17676.78414
Northeast	81	17805.54693
Northeast	82	17498.1329
Northeast	83	16791.3552
Northeast	84	15902.13098
Northeast	85	14926.55141
Northeast	86	13993.17357
Northeast	87	13377.24781
Northeast	88	13037.7666
Northeast	89	13012.58367
Northeast	90	13875.87618
Northeast	91	14619.55878
Northeast	92	14578.15115
Northeast	93	14353.45344
Northeast	94	14000.89961
Northeast	95	13452.05848
Northeast	96	12774.02259
Northeast	97	12349.37559
Northeast	98	12359.11653
Northeast	99	12770.42229
Northeast	100	13504.78761
Northeast	101	14311.7035
