generation_project,timestamp,DispatchEmissions_tCO2_per_typical_yr,DispatchGen_MW,Energy_GWh_typical_yr,VariableCost_per_yr,gen_dbid,gen_energy_source,gen_load_zone,gen_tech,period,tp_weight_in_year_hrs
Sweeny_Cogen_Facility,2018010103,0.0,0.0,0.0,0.0,Sweeny_Cogen_Facility,NG,Coastal,NG_OCGT-CHP,2018,730
Texas_City_1,2018010104,376991.210517,458.5,334.705,1583154.65,Texas_City_1,NG,Coastal,NG_CCGT-CHP,2018,730
Panda_Temple_II_CTG1,2018010102,0.0,0.0,0.0,0.0,Panda_Temple_II_CTG1,NG,Northeast,NG_CCGT,2018,730
Magic_Valley_Wind_(Redfish)_1B,2018010101,0.0,103.5,75.555,0.0,Magic_Valley_Wind_(Redfish)_1B,Wind-C,South,Wind-C_WT,2018,730
W_A_Parish_7,2018010107,0.0,0.0,0.0,0.0,W_A_Parish_7,Coal-Sub,Coastal,Coal-Sub_ST,2018,730
Winchester_Power_Park_4,2018010106,0.0,0.0,0.0,0.0,Winchester_Power_Park_4,NG,South,NG_OCGT,2018,730
King_Mountain_Wind_NE,2018010102,0.0,0.0,0.0,0.0,King_Mountain_Wind_NE,Wind,West,Wind_WT,2018,730
Horse_Hollow_Wind_2,2018010108,0.0,0.0,0.0,0.0,Horse_Hollow_Wind_2,Wind,West,Wind_WT,2018,730
Blue_Wing_1_Solar,2018010108,0.0,7.6,5.548,1997.28,Blue_Wing_1_Solar,Solar,South,Solar_PV,2018,730
ExxonMobil_Baytown_Refinery,2018010108,0.0,0.0,0.0,0.0,ExxonMobil_Baytown_Refinery,NG,Coastal,NG_OCGT-CHP,2018,730
Panhandle_Wind_1_U2,2018010102,0.0,109.2,79.716,0.0,Panhandle_Wind_1_U2,Wind,West,Wind_WT,2018,730
Senate_Wind,2018010100,0.0,150.0,109.5,0.0,Senate_Wind,Wind,Northeast,Wind_WT,2018,730
T_H_Wharton_GT_55,2018010103,0.0,0.0,0.0,0.0,T_H_Wharton_GT_55,NG,Coastal,NG_OCGT,2018,730
Stephens_Ranch_Wind_2,2018010111,0.0,165.0,120.45,0.0,Stephens_Ranch_Wind_2,Wind,West,Wind_WT,2018,730
Capricorn_Ridge_Wind_1,2018010105,0.0,214.5,156.585,0.0,Capricorn_Ridge_Wind_1,Wind,West,Wind_WT,2018,730
Silas_Ray_10,2018010107,25819.478739,46.0,33.58,158833.4,Silas_Ray_10,NG,South,NG_OCGT,2018,730
Stephens_Ranch_Wind_1,2018010100,0.0,211.2,154.176,0.0,Stephens_Ranch_Wind_1,Wind,West,Wind_WT,2018,730
Rio_Nogales_1,2018010105,358715.790334,785.0,573.05,2710526.5,Rio_Nogales_1,NG,South,NG_CCGT,2018,730
Capricorn_Ridge_Wind_2,2018010110,0.0,186.0,135.78,0.0,Capricorn_Ridge_Wind_2,Wind,West,Wind_WT,2018,730
W_A_Parish_1,2018010107,0.0,0.0,0.0,0.0,W_A_Parish_1,NG,Coastal,NG_ST,2018,730
Decker_Creek_2,2018010109,255703.7431,420.0,306.6,1450218.0,Decker_Creek_2,NG,South,NG_ST,2018,730
V_H_Braunig_7,2018010103,26958.4131114,48.0,35.04,165739.2,V_H_Braunig_7,NG,South,NG_OCGT,2018,730
R_W_Miller_2,2018010107,0.0,0.0,0.0,0.0,R_W_Miller_2,NG,Northeast,NG_ST,2018,730
Forney_Energy_Center_2,2018010108,0.0,0.0,0.0,0.0,Forney_Energy_Center_2,NG,Northeast,NG_CCGT,2018,730
Oklaunion_1,2018010102,0.0,0.0,0.0,0.0,Oklaunion_1,Coal-Sub,West,Coal-Sub_ST,2018,730
Sherbino_1_Wind,2018010103,0.0,150.0,109.5,0.0,Sherbino_1_Wind,Wind,West,Wind_WT,2018,730
Downie_Ranch_Solar_(OCI_Alamo_5),2018010101,0.0,95.0,69.35,24966.0,Downie_Ranch_Solar_(OCI_Alamo_5),Solar,South,Solar_PV,2018,730
