gen_tech,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr
Biogas_IC,Biogas,2018,505.7982,1259437.518,0.0
Biomass_ST,Biomass,2018,0.0,0.0,0.0
Coal-Lig_ST,Coal-Lig,2018,0.0,0.0,0.0
Coal-Sub_ST,Coal-Sub,2018,660.410264686,4180396.97546,754544.387818
Hydro_HYDRO,Water,2018,3120.34393309,5429398.44358,0.0
NG_CCGT,NG,2018,62609.0010903,296140575.157,37752611.1412
NG_CCGT-CHP,NG,2018,49293.7111491,233277786.866,32657140.9601
NG_IC,NG,2018,983.042183057,4649789.52586,748243.781661
NG_OCGT,NG,2018,6129.40339569,29184166.6479,5051743.11589
NG_OCGT-CHP,NG,2018,4254.66438609,20124562.5462,3078769.7614
NG_ST,NG,2018,39317.9960531,185974121.331,33786393.5687
Solar_PV,Solar,2018,2273.57892205,818488.411937,0.0
Storage_BATT,Storage,2018,126.852036044,0.0,0.0
Uranium_ST,Uranium,2018,34097.1071663,45349152.5312,0.0
Wind-C_WT,Wind-C,2018,16176.7764,0.0,0.0
Wind_WT,Wind,2018,100670.971811,0.0,0.0
