gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr
Biogas_IC,Coastal,Biogas,2018,214.767,534769.83,0.0
Biogas_IC,Northeast,Biogas,2018,0.0,0.0,0.0
Biogas_IC,South,Biogas,2018,291.0312,724667.688,0.0
Biomass_ST,Northeast,Biomass,2018,0.0,0.0,0.0
Coal-Lig_ST,Northeast,Coal-Lig,2018,0.0,0.0,0.0
Coal-Lig_ST,South,Coal-Lig,2018,0.0,0.0,0.0
Coal-Sub_ST,Coastal,Coal-Sub,2018,659.921112146,4177300.63988,753971.030969
Coal-Sub_ST,Northeast,Coal-Sub,2018,0.0,0.0,0.0
Coal-Sub_ST,South,Coal-Sub,2018,0.0,0.0,0.0
Coal-Sub_ST,West,Coal-Sub,2018,0.48915254,3096.3355782,573.35684914
Hydro_HYDRO,Northeast,Water,2018,0.0,0.0,0.0
Hydro_HYDRO,South,Water,2018,3047.9382,5303412.468,0.0
Hydro_HYDRO,West,Water,2018,72.40573309,125985.975577,0.0
NG_CCGT,Coastal,NG,2018,21839.531995,103300986.337,13190034.7405
NG_CCGT,Northeast,NG,2018,0.0,0.0,0.0
NG_CCGT,South,NG,2018,40370.928127,190954490.041,24356407.2492
NG_CCGT,West,NG,2018,398.540968264,1885098.77989,206169.151533
NG_CCGT-CHP,Coastal,NG,2018,43009.1213437,203551677.087,28962712.9497
NG_CCGT-CHP,South,NG,2018,6140.52209261,29044669.4981,3606902.08083
NG_CCGT-CHP,West,NG,2018,144.06771284,681440.281734,87525.9295625
NG_IC,Northeast,NG,2018,0.0,0.0,0.0
NG_IC,South,NG,2018,983.042183057,4649789.52586,748243.781661
NG_OCGT,Coastal,NG,2018,1652.80595027,8009860.73105,1592258.78965
NG_OCGT,Northeast,NG,2018,0.0,0.0,0.0
NG_OCGT,South,NG,2018,4267.76766026,20186541.033,3296053.52933
NG_OCGT,West,NG,2018,208.829785156,987764.883789,163430.796914
NG_OCGT-CHP,Coastal,NG,2018,4095.42811724,19371374.9946,2962179.80999
NG_OCGT-CHP,South,NG,2018,159.236268846,753187.551642,116589.951408
NG_ST,Coastal,NG,2018,21166.3919453,100117033.901,18194338.0479
NG_ST,Northeast,NG,2018,0.0,0.0,0.0
NG_ST,South,NG,2018,18005.6772835,85166853.5508,15456591.7562
NG_ST,West,NG,2018,145.926824383,690233.87933,135463.764596
Solar_PV,Northeast,Solar,2018,17.532,6311.52,0.0
Solar_PV,South,Solar,2018,2223.9342,800616.312,0.0
Solar_PV,West,Solar,2018,32.112722047,11560.5799369,0.0
Storage_BATT,West,Storage,2018,126.852036044,0.0,0.0
Uranium_ST,Northeast,Uranium,2018,11472.0611663,15257841.3512,0.0
Uranium_ST,South,Uranium,2018,22625.046,30091311.18,0.0
Wind-C_WT,South,Wind-C,2018,16176.7764,0.0,0.0
Wind_WT,Northeast,Wind,2018,15373.8108,0.0,0.0
Wind_WT,South,Wind,2018,6932.1528,0.0,0.0
Wind_WT,West,Wind,2018,78365.0082113,0.0,0.0
