LOAD_ZONE	TIMEPOINT	zone_demand_mw
South	3625	13379.17226
South	3626	12727.00227
South	3627	12242.56117
South	3628	11965.3389
South	3629	11932.40303
South	3630	11876.77082
South	3631	12454.9193
South	3632	13771.15104
South	3633	15257.9567
South	3634	16724.13107
South	3635	18068.08979
South	3636	19311.25355
South	3637	20276.78836
South	3638	21102.14722
South	3639	21641.35997
South	3640	22123.27849
South	3641	22408.21652
South	3642	22148.70824
South	3643	21383.36847
South	3644	20637.73235
South	3645	20214.03971
South	3646	18686.85247
South	3647	16846.28206
South	3648	15347.82072
South	3649	14373.64709
South	3650	13802.11534
South	3651	13515.29439
South	3652	13636.72795
South	3653	14379.50236
South	3654	15774.86719
South	3655	16508.97957
South	3656	16869.87989
South	3657	17547.64572
South	3658	18796.16213
South	3659	20035.39614
South	3660	21050.48153
South	3661	21990.56974
South	3662	22861.69895
South	3663	23474.24436
South	3664	23897.53372
South	3665	23932.37944
South	3666	23573.76884
South	3667	22747.45466
South	3668	22013.59807
South	3669	21456.42088
South	3670	19632.99798
South	3671	17561.17201
South	3672	15965.46449
South	3673	14905.00068
South	3674	14113.08625
South	3675	13685.24699
South	3676	13682.16902
South	3677	14338.95318
South	3678	15557.72546
South	3679	16518.23112
South	3680	17403.92961
South	3681	18506.16258
South	3682	19710.42895
South	3683	20876.0439
South	3684	22038.95983
South	3685	23036.386
South	3686	23772.7574
South	3687	24146.50705
South	3688	24449.3091
South	3689	24375.31734
South	3690	23817.38415
South	3691	22980.01268
South	3692	22075.70352
South	3693	21479.38819
South	3694	19712.81143
South	3695	17689.81782
South	3696	16209.75065
South	3697	15183.49569
South	3698	14541.27074
South	3699	14117.59947
South	3700	14165.53304
South	3701	14845.44702
South	3702	16046.54078
South	3703	16915.43396
South	3704	17626.41013
South	3705	18741.33178
South	3706	20118.62623
South	3707	21389.69289
South	3708	22564.79654
South	3709	23640.78332
South	3710	24602.00226
South	3711	25326.83219
South	3712	25742.20805
South	3713	25735.88315
South	3714	25093.30646
South	3715	24058.35613
South	3716	22979.7175
South	3717	22241.39987
South	3718	20386.09021
South	3719	18205.25083
South	3720	16590.23807
South	3721	15490.04538
South	3722	14797.70735
South	3723	14343.93951
South	3724	14300.93498
South	3725	14824.67035
South	3726	15883.0949
South	3727	16824.02069
South	3728	17506.38772
South	3729	18388.60104
South	3730	19419.89443
South	3731	20489.24445
South	3732	21492.40362
South	3733	22305.52217
South	3734	22962.83181
South	3735	23581.15404
South	3736	24124.93564
South	3737	24259.83648
South	3738	23854.11587
South	3739	23049.26577
South	3740	22290.56799
South	3741	21814.71217
South	3742	20091.90695
South	3743	18255.33564
South	3744	16649.96589
South	3745	15558.60343
South	3746	14903.03999
South	3747	14464.23315
South	3748	14318.46917
South	3749	14814.5723
South	3750	15857.19708
South	3751	16671.55677
South	3752	17253.1862
South	3753	18134.82106
South	3754	19320.34829
South	3755	20517.11741
South	3756	21650.91151
South	3757	22873.23829
South	3758	23850.87657
South	3759	24482.08328
South	3760	24866.64321
South	3761	24775.50124
South	3762	24056.64217
South	3763	22914.53859
South	3764	22054.69837
South	3765	21470.29099
South	3766	20093.64699
South	3767	18420.27558
South	3768	16888.33483
South	3769	15726.04028
South	3770	14772.21803
South	3771	14238.06562
South	3772	13922.15547
South	3773	14002.26083
South	3774	14253.90502
South	3775	14976.84744
South	3776	16530.06966
South	3777	18203.92407
South	3778	19820.35889
South	3779	21169.85789
South	3780	22337.03543
South	3781	23272.48418
South	3782	23951.09554
South	3783	24383.17494
South	3784	24686.60261
South	3785	24647.23575
South	3786	24117.58924
South	3787	23129.49999
South	3788	22111.62257
South	3789	21370.62439
South	3790	19944.18516
South	3791	18440.05697
South	3792	17064.19723
South	3793	16120.4709
South	3794	15303.02946
South	3795	14725.85875
South	3796	14396.7657
South	3797	14258.81106
South	3798	14250.66949
South	3799	14311.59141
South	3800	14630.01082
South	3801	15181.13492
South	3802	15717.62963
South	3803	16328.24047
South	3804	17093.05143
South	3805	18304.87146
South	3806	19589.57289
South	3807	20515.91055
South	3808	21173.89815
South	3809	21283.48465
South	3810	21124.39685
South	3811	20670.09713
South	3812	20071.97143
South	3813	19739.7387
South	3814	18518.4594
South	3815	16772.09472
South	3816	15429.99554
South	3817	14454.89242
South	3818	13848.73057
South	3819	13689.73864
South	3820	13921.69091
South	3821	14355.93628
South	3822	14701.51308
South	3823	15098.57324
South	3824	15339.05646
South	3825	15591.539
South	3826	15965.86198
South	3827	16311.74126
South	3828	16795.17821
South	3829	17287.73112
South	3830	17630.17682
South	3831	17649.09921
South	3832	17878.96199
South	3833	17943.48815
South	3834	18119.50271
South	3835	17820.54323
South	3836	17451.5676
South	3837	17317.68958
South	3838	16052.1105
South	3839	14381.94469
South	3840	13131.43631
South	3841	12217.53613
South	3842	11570.58299
South	3843	11300.9403
South	3844	11359.71396
South	3845	11975.84501
South	3846	12818.18476
South	3847	13572.97902
South	3848	14290.67997
South	3849	15187.3634
South	3850	16128.355
South	3851	16970.47279
South	3852	17616.80561
South	3853	18382.18069
South	3854	19112.69957
South	3855	19855.13155
South	3856	20396.8655
South	3857	20634.64248
South	3858	20409.88659
South	3859	19736.23027
South	3860	18962.26644
South	3861	18575.06179
South	3862	16942.06209
South	3863	15152.58961
South	3864	13645.57258
South	3865	12600.26764
South	3866	11980.19075
South	3867	11683.94513
South	3868	11700.22234
South	3869	12330.90793
South	3870	13127.70215
South	3871	14013.76322
South	3872	15107.75683
South	3873	16356.85753
South	3874	17790.0695
South	3875	19209.33618
South	3876	20561.68792
South	3877	21914.07055
South	3878	23165.3506
South	3879	24105.42737
South	3880	24826.6391
South	3881	24892.7112
South	3882	24356.15922
South	3883	23183.11056
South	3884	22211.03637
South	3885	21524.08823
South	3886	19897.45179
South	3887	17908.12063
South	3888	16521.61143
South	3889	15509.94249
South	3890	14779.12619
South	3891	14340.174
South	3892	14277.43265
South	3893	14868.11158
South	3894	15886.91723
South	3895	16480.31
South	3896	16723.34243
South	3897	16952.82796
South	3898	17360.92282
South	3899	17703.13459
South	3900	17995.72534
South	3901	18467.08037
South	3902	19178.72235
South	3903	19966.68786
South	3904	20432.71365
South	3905	20751.56279
South	3906	20487.55672
South	3907	19882.18011
South	3908	19534.03012
South	3909	19229.54301
South	3910	17873.6065
South	3911	16178.6935
South	3912	14681.13416
South	3913	13699.64209
South	3914	13210.16817
South	3915	12906.09708
South	3916	12934.62939
South	3917	13467.64581
South	3918	14157.50855
South	3919	14988.61447
South	3920	16012.23892
South	3921	17279.00915
South	3922	18723.52642
South	3923	20029.41551
South	3924	21128.65181
South	3925	21995.514
South	3926	22634.37678
South	3927	23196.88645
South	3928	23585.03853
South	3929	23524.20216
South	3930	23011.3153
South	3931	21872.98458
South	3932	20918.90036
South	3933	20416.81012
South	3934	19017.45753
South	3935	17352.63869
South	3936	15953.97985
South	3937	14873.3214
South	3938	14089.24464
South	3939	13593.11005
South	3940	13328.90087
South	3941	13449.98196
South	3942	13587.90111
South	3943	14017.44963
South	3944	14988.78168
South	3945	16352.07733
South	3946	17909.43856
South	3947	18984.00784
South	3948	19878.67282
South	3949	20471.61944
South	3950	20819.40735
