load_zone	timestamp	ZoneTotalCentralDispatch	ZoneTotalDistributedDispatch	zone_demand_mw
West	2018120100	7015.7	0	7015.7
West	2018120101	6648.93	0	6648.93
West	2018120102	6447.53	0	6447.53
West	2018120103	6380.36	0	6380.36
West	2018120104	6510.53	0	6510.53
West	2018120105	7106.54	0	7106.54
West	2018120106	8194.7	0	8194.7
West	2018120107	8553.74	0	8553.74
West	2018120108	8544.54	0	8544.54
West	2018120109	8825.94	0	8825.94
West	2018120110	9056.96	0	9056.96
West	2018120111	9157.8	0	9157.8
West	2018120112	9281.34	0	9281.34
West	2018120113	9411.14	0	9411.14
West	2018120114	9544.42	0	9544.42
West	2018120115	9705.09	0	9705.09
West	2018120116	9930.73	0	9930.73
West	2018120117	10625.6	0	10625.6
West	2018120118	11417.3	0	11417.3
West	2018120119	11532.4	0	11532.4
West	2018120120	11494.1	0	11494.1
West	2018120121	11065.8	0	11065.8
West	2018120122	10260	0	10260
West	2018120123	9449.16	0	9449.16
West	2018120200	8871.12	0	8871.12
West	2018120201	8603.75	0	8603.75
West	2018120202	8486.08	0	8486.08
West	2018120203	8561.02	0	8561.02
West	2018120204	8824.31	0	8824.31
West	2018120205	9614.51	0	9614.51
West	2018120206	10987.6	0	10987.6
West	2018120207	11283.4	0	11283.4
West	2018120208	11009.5	0	11009.5
West	2018120209	10894.8	0	10894.8
West	2018120210	10713.2	0	10713.2
West	2018120211	10420.4	0	10420.4
West	2018120212	10137.9	0	10137.9
West	2018120213	9921.43	0	9921.43
West	2018120214	9721.49	0	9721.49
West	2018120215	9691.09	0	9691.09
West	2018120216	9937.42	0	9937.42
West	2018120217	10661	0	10661
West	2018120218	11305.6	0	11305.6
West	2018120219	11335.6	0	11335.6
West	2018120220	11194.6	0	11194.6
West	2018120221	10714.6	0	10714.6
West	2018120222	9911.72	0	9911.72
West	2018120223	9030.31	0	9030.31
West	2018120300	8383.26	0	8383.26
West	2018120301	8138.56	0	8138.56
West	2018120302	7981.76	0	7981.76
West	2018120303	7975.13	0	7975.13
West	2018120304	8153.47	0	8153.47
West	2018120305	8854.93	0	8854.93
West	2018120306	10065.6	0	10065.6
West	2018120307	10258.8	0	10258.8
West	2018120308	9835.23	0	9835.23
West	2018120309	9784.58	0	9784.58
West	2018120310	9657.95	0	9657.95
West	2018120311	9536.4	0	9536.4
West	2018120312	9350.83	0	9350.83
West	2018120313	9208.68	0	9208.68
West	2018120314	9090.62	0	9090.62
West	2018120315	9040.35	0	9040.35
West	2018120316	9198.55	0	9198.55
West	2018120317	9735.5	0	9735.5
West	2018120318	10278.4	0	10278.4
West	2018120319	10248	0	10248
West	2018120320	10063.6	0	10063.6
West	2018120321	9591.1	0	9591.1
West	2018120322	8819.96	0	8819.96
West	2018120323	7959.68	0	7959.68
West	2018120400	7356.04	0	7356.04
West	2018120401	7026.96	0	7026.96
West	2018120402	6866.49	0	6866.49
West	2018120403	6826.26	0	6826.26
West	2018120404	6951.79	0	6951.79
West	2018120405	7563.52	0	7563.52
West	2018120406	8708.15	0	8708.15
West	2018120407	9026.37	0	9026.37
West	2018120408	8838.36	0	8838.36
West	2018120409	8918.32	0	8918.32
West	2018120410	8992	0	8992
West	2018120411	9008.9	0	9008.9
West	2018120412	9031.01	0	9031.01
West	2018120413	9038.19	0	9038.19
West	2018120414	9058.8	0	9058.8
West	2018120415	9102.74	0	9102.74
West	2018120416	9160.78	0	9160.78
West	2018120417	9547.19	0	9547.19
West	2018120418	10117.6	0	10117.6
West	2018120419	10055.1	0	10055.1
West	2018120420	9889.71	0	9889.71
West	2018120421	9415.25	0	9415.25
West	2018120422	8719.51	0	8719.51
West	2018120423	7925.41	0	7925.41
West	2018120500	7272.76	0	7272.76
West	2018120501	6901.19	0	6901.19
West	2018120502	6718.06	0	6718.06
West	2018120503	6639.67	0	6639.67
West	2018120504	6721.89	0	6721.89
West	2018120505	7218.29	0	7218.29
West	2018120506	8353.38	0	8353.38
West	2018120507	8751.16	0	8751.16
West	2018120508	8711.67	0	8711.67
West	2018120509	8903.86	0	8903.86
West	2018120510	9092.87	0	9092.87
West	2018120511	9207.85	0	9207.85
West	2018120512	9286.05	0	9286.05
West	2018120513	9401.64	0	9401.64
West	2018120514	9449.26	0	9449.26
West	2018120515	9432.15	0	9432.15
West	2018120516	9395.11	0	9395.11
West	2018120517	9586.23	0	9586.23
West	2018120518	9989.75	0	9989.75
West	2018120519	9758.25	0	9758.25
West	2018120520	9497.1	0	9497.1
West	2018120521	9147.38	0	9147.38
West	2018120522	8629.32	0	8629.32
West	2018120523	7958.13	0	7958.13
West	2018120600	7348.18	0	7348.18
West	2018120601	6943.61	0	6943.61
West	2018120602	6694.67	0	6694.67
West	2018120603	6577.61	0	6577.61
West	2018120604	6563.37	0	6563.37
West	2018120605	6776.43	0	6776.43
West	2018120606	7186.02	0	7186.02
West	2018120607	7595.28	0	7595.28
West	2018120608	8075.03	0	8075.03
West	2018120609	8496.97	0	8496.97
West	2018120610	8697.09	0	8697.09
West	2018120611	8815.34	0	8815.34
West	2018120612	8835.39	0	8835.39
West	2018120613	8803.33	0	8803.33
West	2018120614	8789.81	0	8789.81
West	2018120615	8757.89	0	8757.89
West	2018120616	8730.16	0	8730.16
West	2018120617	8975.37	0	8975.37
West	2018120618	9463.37	0	9463.37
West	2018120619	9323.02	0	9323.02
West	2018120620	9140.85	0	9140.85
West	2018120621	8882.42	0	8882.42
West	2018120622	8491.6	0	8491.6
West	2018120623	7950.86	0	7950.86
West	2018120700	7457.16	0	7457.16
West	2018120701	7074.54	0	7074.54
West	2018120702	6857.44	0	6857.44
West	2018120703	6773.94	0	6773.94
West	2018120704	6776.21	0	6776.21
West	2018120705	6903.53	0	6903.53
West	2018120706	7200.09	0	7200.09
West	2018120707	7457.53	0	7457.53
West	2018120708	7877.62	0	7877.62
West	2018120709	8287.98	0	8287.98
West	2018120710	8468.57	0	8468.57
West	2018120711	8536.43	0	8536.43
West	2018120712	8556.6	0	8556.6
West	2018120713	8524.11	0	8524.11
West	2018120714	8465.38	0	8465.38
West	2018120715	8463.72	0	8463.72
West	2018120716	8663.18	0	8663.18
West	2018120717	9333.71	0	9333.71
West	2018120718	9944.49	0	9944.49
West	2018120719	9976.73	0	9976.73
West	2018120720	9828.82	0	9828.82
West	2018120721	9457.01	0	9457.01
West	2018120722	8760.32	0	8760.32
West	2018120723	7975.44	0	7975.44
West	2018120800	7416.72	0	7416.72
West	2018120801	7105.22	0	7105.22
West	2018120802	6977.62	0	6977.62
West	2018120803	6966.18	0	6966.18
West	2018120804	7178.87	0	7178.87
West	2018120805	7936.62	0	7936.62
