Generator,County,Load Zone,Online,Fuel,Prime Mover,Butler PPC Category,AURORA Fuel Category,Net Capacity MW,Average Heat Rate Btu per kWh,Fixed OM Charge USD per kWyr,Variable O&M Charge USD per MWh,Minimum Stable Level frac,Maximum Ramp Rate frac per min,Minimum Down Time HRS,Minimum Up Time HRS,Start Cost USD per MWstart,Minimum Time to Repair HRS,Mean Time to Repair HRS,Maximum Time to Repair HRS,Forced Outage Rate percent,Source
Austin Area LFG,Travis,AEN,2007,Biogas,IC,,OT,6.4,9800.00,47.07,2.49,0.20,0.25000,1,1,20.0000,0,0,0,0,CDR 12/15
Dallas-Fort Worth Area LFG,Dallas,North,2015,Biogas,IC,,OT,35.8,9800.00,47.07,2.49,0.20,0.25000,1,1,20.0000,0,0,0,0,CDR 12/15
Houston Area LFG,Harris,Houston,2002,Biogas,IC,,OT,24.5,9800.00,47.07,2.49,0.20,0.25000,1,1,20.0000,0,0,0,0,CDR 12/15
San Antonio Area LFG,Bexar,CPS,2013,Biogas,IC,,OT,26.8,9800.00,47.07,2.49,0.20,0.25000,1,1,20.0000,0,0,0,0,CDR 12/15
Lufkin Biomass,Angelina,North,2012,Biomass,ST,,OT,45.0,9894.00,47.07,2.49,0.25,0.00540,6,8,0.0000,0,0,0,0,CDR 12/15
Nacogdoches Power,Nacogdoches,North,2012,Biomass,ST,,OT,105.0,9894.00,47.07,2.49,0.25,0.00540,6,8,0.0000,0,0,0,0,CDR 12/15
Limestone 2,Limestone,North,1986,Coal-Lig,ST,Advanced,CoalERCT,858.0,9578.04,43.56,6.33,0.48,0.00264,12,24,42.0000,24,72,168,10,CDR 12/15
Oak Grove SES Unit 1,Robertson,North,2010,Coal-Lig,ST,Advanced,CoalERCT,840.0,9344.14,43.56,6.33,0.48,0.00264,12,24,42.0000,24,72,168,10,CDR 12/15
Oak Grove SES Unit 2,Robertson,North,2011,Coal-Lig,ST,Advanced,CoalERCT,825.0,9305.12,43.56,6.33,0.48,0.00264,12,24,42.0000,24,72,168,10,CDR 12/15
Sandow U4,Milam,South,1981,Coal-Lig,ST,Advanced,CoalERCT,570.0,9322.99,43.56,6.33,0.48,0.00264,12,24,42.0000,24,72,168,10,CDR 12/15
Big Brown 1,Freestone,North,1971,Coal-Lig,ST,,CoalERCT,606.0,10743.78,43.56,6.33,0.48,0.00264,12,24,42.0000,24,72,168,10,CDR 12/15
Martin Lake 1,Rusk,North,1977,Coal-Lig,ST,,CoalERCT,800.0,11129.24,43.56,6.33,0.48,0.00264,12,24,42.0000,24,72,168,10,CDR 12/15
Martin Lake 2,Rusk,North,1978,Coal-Lig,ST,,CoalERCT,805.0,11063.49,43.56,6.33,0.48,0.00264,12,24,42.0000,24,72,168,10,CDR 12/15
Monticello U2,Titus,North,1975,Coal-Lig,ST,,CoalERCT,535.0,10949.01,43.56,6.33,0.48,0.00264,12,24,42.0000,24,72,168,10,CDR 12/15
San Miguel 1,Atascosa,South,1982,Coal-Lig,ST,,CoalERCT,391.0,12179.06,43.56,6.33,0.48,0.00264,12,24,42.0000,24,72,168,10,CDR 12/15
Sandow U5,Milam,South,2010,Coal-Lig,ST,,CoalERCT,600.0,11118.04,43.56,6.33,0.48,0.00264,12,24,42.0000,24,72,168,10,CDR 12/15
Twin Oaks 1,Robertson,North,1990,Coal-Lig,ST,,CoalERCT,156.0,10887.31,43.56,6.33,0.48,0.00264,12,24,42.0000,24,72,168,10,CDR 12/15
Twin Oaks 2,Robertson,North,1991,Coal-Lig,ST,,CoalERCT,156.0,10838.38,43.56,6.33,0.48,0.00264,12,24,42.0000,24,72,168,10,CDR 12/15
Big Brown 2,Freestone,North,1972,Coal-Sub,ST,Advanced,CoalERCT,602.0,10684.11,43.56,6.33,0.48,0.00264,12,24,29.0000,24,72,168,10,CDR 12/15
Coleto Creek,Goliad,South,1980,Coal-Sub,ST,Advanced,CoalERCT,660.0,10163.29,43.56,6.33,0.48,0.00264,12,24,29.0000,24,72,168,10,CDR 12/15
Fayette Power Project 1,Fayette,AEN,1979,Coal-Sub,ST,Advanced,CoalERCT,604.0,10692.12,43.56,6.33,0.48,0.00264,12,24,29.0000,24,72,168,10,CDR 12/15
Fayette Power Project 2,Fayette,LCRA,1980,Coal-Sub,ST,Advanced,CoalERCT,599.0,10710.10,43.56,6.33,0.48,0.00264,12,24,29.0000,24,72,168,10,CDR 12/15
Fayette Power Project 3,Fayette,LCRA,1988,Coal-Sub,ST,Advanced,CoalERCT,437.0,10672.73,43.56,6.33,0.48,0.00264,12,24,29.0000,24,72,168,10,CDR 12/15
Gibbons Creek 1,Grimes,North,1983,Coal-Sub,ST,Advanced,CoalERCT,470.0,9989.98,43.56,6.33,0.48,0.00264,12,24,29.0000,24,72,168,10,CDR 12/15
J K Spruce 1,Bexar,CPS,1992,Coal-Sub,ST,Advanced,CoalERCT,560.0,10821.79,43.56,6.33,0.48,0.00264,12,24,29.0000,24,72,168,10,CDR 12/15
J K Spruce 2,Bexar,CPS,2010,Coal-Sub,ST,Advanced,CoalERCT,775.0,10800.46,43.56,6.33,0.48,0.00264,12,24,29.0000,24,72,168,10,CDR 12/15
Limestone 1,Limestone,North,1985,Coal-Sub,ST,Advanced,CoalERCT,831.0,9643.05,43.56,6.33,0.48,0.00264,12,24,29.0000,24,72,168,10,CDR 12/15
Oklaunion 1,Wilbarger,West,1986,Coal-Sub,ST,Advanced,CoalERCT,650.0,10634.10,43.56,6.33,0.48,0.00264,12,24,29.0000,24,72,168,10,CDR 12/15
W A Parish 5,Fort Bend,Houston,1977,Coal-Sub,ST,Advanced,CoalERCT,659.0,10413.40,43.56,6.33,0.48,0.00264,12,24,29.0000,24,72,168,10,CDR 12/15
W A Parish 6,Fort Bend,Houston,1978,Coal-Sub,ST,Advanced,CoalERCT,658.0,10349.11,43.56,6.33,0.48,0.00264,12,24,29.0000,24,72,168,10,CDR 12/15
W A Parish 7,Fort Bend,Houston,1980,Coal-Sub,ST,Advanced,CoalERCT,577.0,10353.50,43.56,6.33,0.48,0.00264,12,24,29.0000,24,72,168,10,CDR 12/15
W A Parish 8,Fort Bend,Houston,1982,Coal-Sub,ST,Advanced,CoalERCT,610.0,10348.59,43.56,6.33,0.48,0.00264,12,24,29.0000,24,72,168,10,CDR 12/15
J T Deely 1,Bexar,CPS,1977,Coal-Sub,ST,,CoalERCT,420.0,14055.85,43.56,6.33,0.48,0.00264,12,24,29.0000,24,72,168,10,CDR 12/15
J T Deely 2,Bexar,CPS,1978,Coal-Sub,ST,,CoalERCT,420.0,14092.91,43.56,6.33,0.48,0.00264,12,24,29.0000,24,72,168,10,CDR 12/15
Martin Lake 3,Rusk,North,1979,Coal-Sub,ST,,CoalERCT,805.0,11076.90,43.56,6.33,0.48,0.00264,12,24,29.0000,24,72,168,10,CDR 12/15
Monticello U1,Titus,North,1974,Coal-Sub,ST,,CoalERCT,535.0,10926.04,43.56,6.33,0.48,0.00264,12,24,29.0000,24,72,168,10,CDR 12/15
Monticello U3,Titus,North,1978,Coal-Sub,ST,,CoalERCT,795.0,10935.77,43.56,6.33,0.48,0.00264,12,24,29.0000,24,72,168,10,CDR 12/15
Sandy Creek 1,McLennan,North,2013,Coal-Sub,ST,,CoalERCT,970.0,9334.84,43.56,6.33,0.48,0.00264,12,24,29.0000,24,72,168,10,CDR 12/15
Hydro LCRA LZ,Travis,LCRA,1951,Hydro,HYDRO,,WAT,280.0,-,19.69,1.74,0.00,0.25000,0,0,0.0000,0,24,168,50,CDR 12/15
Hydro North LZ,Bosque,North,2014,Hydro,HYDRO,,WAT,51.6,-,19.69,1.74,0.00,0.25000,0,0,0.0000,0,24,168,50,CDR 12/15
Hydro RCEC LZ,Grayson,RCEC,1948,Hydro,HYDRO,,WAT,80.0,-,19.69,1.74,0.00,0.25000,0,0,0.0000,0,24,168,50,CDR 12/15
Hydro South LZ,Starr,South,2005,Hydro,HYDRO,,WAT,67.7,-,19.69,1.74,0.00,0.25000,0,0,0.0000,0,24,168,50,CDR 12/15
Hydro West LZ,Val Verde,West,1983,Hydro,HYDRO,,WAT,75.8,-,19.69,1.74,0.00,0.25000,0,0,0.0000,0,24,168,50,CDR 12/15
Arthur Von Rosenberg 1,Bexar,South,2000,NG,CCGT,Conventional,NGERSOU,458.0,8017.05,25.28,4.73,0.25,0.00420,6,14,34.6300,0,0,0,0,CDR 12/15
B M Davis 3,Nueces,South,2010,NG,CCGT,Conventional,NGERSOU,633.0,8318.13,25.28,4.73,0.25,0.00420,6,14,34.6300,0,0,0,0,CDR 12/15
Bastrop Energy Center 1,Bastrop,South,2002,NG,CCGT,Conventional,NGERSOU,533.0,8066.23,25.28,4.73,0.25,0.00420,6,14,34.6300,0,0,0,0,CDR 12/15
Bosque County CC 1,Bosque,North,2009,NG,CCGT,Conventional,NGERNOR,514.0,7500.00,25.28,4.73,0.25,0.00420,6,14,34.6300,0,0,0,0,CDR 12/15
Bosque County CC 2,Bosque,North,2001,NG,CCGT,Advanced,NGERNOR,230.3,7412.80,25.28,4.73,0.25,0.00420,6,14,34.6300,0,0,0,0,CDR 12/15
Brazos Valley 1,Fort Bend,Houston,2003,NG,CCGT,Conventional,NGERHOU,602.0,7823.28,25.28,4.73,0.25,0.00420,6,14,34.6300,0,0,0,0,CDR 12/15
Cedar Bayou 4,Chambers,Houston,2009,NG,CCGT,Advanced,NGERHOU,504.0,7040.92,25.28,4.73,0.25,0.00420,6,14,34.6300,0,0,0,0,CDR 12/15
Colorado Bend Energy Center 1,Wharton,Houston,2007,NG,CCGT,Advanced,NGERHOU,233.0,7415.65,25.28,4.73,0.25,0.00420,6,14,34.6300,0,0,0,0,CDR 12/15
Colorado Bend Energy Center 2,Wharton,Houston,2008,NG,CCGT,Advanced,NGERHOU,235.0,7349.30,25.28,4.73,0.25,0.00420,6,14,34.6300,0,0,0,0,CDR 12/15
Ennis Power Station 1,Ellis,North,2002,NG,CCGT,Advanced,NGERNOR,312.0,6678.27,25.28,4.73,0.25,0.00420,6,14,34.6300,0,0,0,0,CDR 12/15
Ferguson Replacement,Llano,LCRA,2014,NG,CCGT,Advanced,NGERSOU,509.8,7050.00,25.28,4.73,0.25,0.00420,6,14,34.6300,0,0,0,0,CDR 12/15
Forney Energy Center 1,Kaufman,North,2003,NG,CCGT,Advanced,NGERNOR,911.0,7365.48,25.28,4.73,0.25,0.00420,6,14,34.6300,0,0,0,0,CDR 12/15
Forney Energy Center 2,Kaufman,North,2003,NG,CCGT,Advanced,NGERNOR,911.0,7357.85,25.28,4.73,0.25,0.00420,6,14,34.6300,0,0,0,0,CDR 12/15
Freestone Energy Center 1,Freestone,North,2002,NG,CCGT,Conventional,NGERNOR,957.3,7520.16,25.28,4.73,0.25,0.00420,6,14,34.6300,0,0,0,0,CDR 12/15
Frontera 1,Hidalgo,South,1999,NG,CCGT,Advanced,NGERSOU,524.0,6839.89,25.28,4.73,0.25,0.00420,6,14,34.6300,0,0,0,0,CDR 12/15
Guadalupe Generating Station 1,Guadalupe,South,2000,NG,CCGT,Advanced,NGERSOU,986.0,7433.30,25.28,4.73,0.25,0.00420,6,14,34.6300,0,0,0,0,CDR 12/15
Hays Energy Facility 1,Hays,South,2002,NG,CCGT,Conventional,NGERSOU,882.0,7750.28,25.28,4.73,0.25,0.00420,6,14,34.6300,0,0,0,0,CDR 12/15
Hidalgo 1,Hidalgo,South,2000,NG,CCGT,Advanced,NGERSOU,458.0,7167.30,25.28,4.73,0.25,0.00420,6,14,34.6300,0,0,0,0,CDR 12/15
Jack County Generation Facility 1,Jack,North,2005,NG,CCGT,Conventional,NGERNOR,595.0,8751.62,25.28,4.73,0.25,0.00420,6,14,34.6300,0,0,0,0,CDR 12/15
Jack County Generation Facility 2,Jack,North,2011,NG,CCGT,Advanced,NGERNOR,595.0,7050.00,25.28,4.73,0.25,0.00420,6,14,34.6300,0,0,0,0,CDR 12/15
Johnson County,Johnson,North,1997,NG,CCGT,Conventional,NGERNOR,269.0,8367.67,25.28,4.73,0.25,0.00420,6,14,34.6300,0,0,0,0,CDR 12/15
Lamar Power Project 1,Lamar,North,2000,NG,CCGT,Advanced,NGERNOR,1040.0,7240.02,25.28,4.73,0.25,0.00420,6,14,34.6300,0,0,0,0,CDR 12/15
