GENERATION_PROJECT	gen_tech	gen_load_zone	gen_connect_cost_per_mw	gen_full_load_heat_rate	gen_variable_om	gen_max_age	gen_is_variable	gen_is_baseload	gen_energy_source
Austin_Area_LFG	Biogas_IC	South	0	9.8	2.49	100	0	0	Biogas
Dallas-Fort_Worth_Area_LFG	Biogas_IC	Northeast	0	9.8	2.49	100	0	0	Biogas
Houston_Area_LFG	Biogas_IC	Coastal	0	9.8	2.49	100	0	0	Biogas
San_Antonio_Area_LFG	Biogas_IC	South	0	9.8	2.49	100	0	0	Biogas
Lufkin_Biomass	Biomass_ST	Northeast	0	9.894	2.49	100	0	0	Biomass
Nacogdoches_Power	Biomass_ST	Northeast	0	9.894	2.49	100	0	0	Biomass
Limestone_2	Coal-Lig_ST	Northeast	0	9.57804	6.33	100	0	0	Coal-Lig
Oak_Grove_SES_Unit_1	Coal-Lig_ST	Northeast	0	9.34414	6.33	100	0	0	Coal-Lig
Oak_Grove_SES_Unit_2	Coal-Lig_ST	Northeast	0	9.30512	6.33	100	0	0	Coal-Lig
Sandow_U4	Coal-Lig_ST	South	0	9.32299	6.33	100	0	0	Coal-Lig
Big_Brown_1	Coal-Lig_ST	Northeast	0	10.74378	6.33	100	0	0	Coal-Lig
Martin_Lake_1	Coal-Lig_ST	Northeast	0	11.12924	6.33	100	0	0	Coal-Lig
Martin_Lake_2	Coal-Lig_ST	Northeast	0	11.06349	6.33	100	0	0	Coal-Lig
Monticello_U2	Coal-Lig_ST	Northeast	0	10.94901	6.33	100	0	0	Coal-Lig
San_Miguel_1	Coal-Lig_ST	South	0	12.17906	6.33	100	0	0	Coal-Lig
Sandow_U5	Coal-Lig_ST	South	0	11.11804	6.33	100	0	0	Coal-Lig
Twin_Oaks_1	Coal-Lig_ST	Northeast	0	10.88731	6.33	100	0	0	Coal-Lig
Twin_Oaks_2	Coal-Lig_ST	Northeast	0	10.83838	6.33	100	0	0	Coal-Lig
Big_Brown_2	Coal-Sub_ST	Northeast	0	10.68411	6.33	100	0	0	Coal-Sub
Coleto_Creek	Coal-Sub_ST	South	0	10.16329	6.33	100	0	0	Coal-Sub
Fayette_Power_Project_1	Coal-Sub_ST	South	0	10.69212	6.33	100	0	0	Coal-Sub
Fayette_Power_Project_2	Coal-Sub_ST	South	0	10.7101	6.33	100	0	0	Coal-Sub
Fayette_Power_Project_3	Coal-Sub_ST	South	0	10.67273	6.33	100	0	0	Coal-Sub
Gibbons_Creek_1	Coal-Sub_ST	Northeast	0	9.98998	6.33	100	0	0	Coal-Sub
J_K_Spruce_1	Coal-Sub_ST	South	0	10.82179	6.33	100	0	0	Coal-Sub
J_K_Spruce_2	Coal-Sub_ST	South	0	10.80046	6.33	100	0	0	Coal-Sub
Limestone_1	Coal-Sub_ST	Northeast	0	9.64305	6.33	100	0	0	Coal-Sub
