LOAD_ZONE	TIMEPOINT	zone_demand_mw
South	1	15848.66848
South	2	15834.09868
South	3	15807.61531
South	4	15914.95351
South	5	16252.86188
South	6	16767.88303
South	7	17235.66187
South	8	17409.51958
South	9	17134.76855
South	10	16691.28669
South	11	16032.62738
South	12	15304.53049
Northeast	1	3209.972705
Northeast	2	3193.746603
Northeast	3	3187.470711
Northeast	4	3199.416735
Northeast	5	3229.361294
Northeast	6	3277.695793
Northeast	7	3325.923825
Northeast	8	3373.426361
Northeast	9	3363.955471
Northeast	10	3298.679193
Northeast	11	3225.517092
Northeast	12	3145.236872
Coastal	1	9996.196331
Coastal	2	9783.442733
Coastal	3	9597.268179
Coastal	4	9470.098768
Coastal	5	9462.201273
Coastal	6	9601.652521
Coastal	7	9761.68587
Coastal	8	9683.431159
Coastal	9	9693.161122
Coastal	10	9811.577102
Coastal	11	9790.19679
Coastal	12	9690.557267
West	1	10276.87689
West	2	10255.19359
West	3	10189.54581
West	4	10085.29135
West	5	10112.01667
West	6	10285.43212
West	7	10525.24671
West	8	10579.60608
West	9	10532.40503
West	10	10347.96774
West	11	10178.23403
West	12	9946.091943
