GENERATION_PROJECT	timepoint	gen_max_capacity_factor
Acacia_Solar	1	0.5
Acacia_Solar	2	0.5
Acacia_Solar	3	0.5
Acacia_Solar	4	0.5
Acacia_Solar	5	0.5
Acacia_Solar	6	0.5
Acacia_Solar	7	0.5
Acacia_Solar	8	0.5
Acacia_Solar	9	0.5
Acacia_Solar	10	0.5
Acacia_Solar	11	0.5
Acacia_Solar	12	0.5
Barilla_Solar_(FS,_Pecos)	1	0.5
Barilla_Solar_(FS,_Pecos)	2	0.5
Barilla_Solar_(FS,_Pecos)	3	0.5
Barilla_Solar_(FS,_Pecos)	4	0.5
Barilla_Solar_(FS,_Pecos)	5	0.5
Barilla_Solar_(FS,_Pecos)	6	0.5
Barilla_Solar_(FS,_Pecos)	7	0.5
Barilla_Solar_(FS,_Pecos)	8	0.5
Barilla_Solar_(FS,_Pecos)	9	0.5
Barilla_Solar_(FS,_Pecos)	10	0.5
Barilla_Solar_(FS,_Pecos)	11	0.5
Barilla_Solar_(FS,_Pecos)	12	0.5
Blue_Wing_1_Solar	1	0.5
Blue_Wing_1_Solar	2	0.5
Blue_Wing_1_Solar	3	0.5
Blue_Wing_1_Solar	4	0.5
Blue_Wing_1_Solar	5	0.5
Blue_Wing_1_Solar	6	0.5
Blue_Wing_1_Solar	7	0.5
Blue_Wing_1_Solar	8	0.5
Blue_Wing_1_Solar	9	0.5
Blue_Wing_1_Solar	10	0.5
Blue_Wing_1_Solar	11	0.5
Blue_Wing_1_Solar	12	0.5
Blue_Wing_2_Solar	1	0.5
Blue_Wing_2_Solar	2	0.5
Blue_Wing_2_Solar	3	0.5
Blue_Wing_2_Solar	4	0.5
Blue_Wing_2_Solar	5	0.5
Blue_Wing_2_Solar	6	0.5
Blue_Wing_2_Solar	7	0.5
Blue_Wing_2_Solar	8	0.5
Blue_Wing_2_Solar	9	0.5
Blue_Wing_2_Solar	10	0.5
Blue_Wing_2_Solar	11	0.5
Blue_Wing_2_Solar	12	0.5
Downie_Ranch_Solar_(OCI_Alamo_5)	1	0.5
Downie_Ranch_Solar_(OCI_Alamo_5)	2	0.5
Downie_Ranch_Solar_(OCI_Alamo_5)	3	0.5
Downie_Ranch_Solar_(OCI_Alamo_5)	4	0.5
Downie_Ranch_Solar_(OCI_Alamo_5)	5	0.5
Downie_Ranch_Solar_(OCI_Alamo_5)	6	0.5
Downie_Ranch_Solar_(OCI_Alamo_5)	7	0.5
Downie_Ranch_Solar_(OCI_Alamo_5)	8	0.5
Downie_Ranch_Solar_(OCI_Alamo_5)	9	0.5
Downie_Ranch_Solar_(OCI_Alamo_5)	10	0.5
Downie_Ranch_Solar_(OCI_Alamo_5)	11	0.5
Downie_Ranch_Solar_(OCI_Alamo_5)	12	0.5
OCI_Alamo_1_Solar	1	0.5
OCI_Alamo_1_Solar	2	0.5
OCI_Alamo_1_Solar	3	0.5
OCI_Alamo_1_Solar	4	0.5
OCI_Alamo_1_Solar	5	0.5
OCI_Alamo_1_Solar	6	0.5
OCI_Alamo_1_Solar	7	0.5
OCI_Alamo_1_Solar	8	0.5
OCI_Alamo_1_Solar	9	0.5
OCI_Alamo_1_Solar	10	0.5
OCI_Alamo_1_Solar	11	0.5
OCI_Alamo_1_Solar	12	0.5
OCI_Alamo_2-St._Hedwig_Solar	1	0.5
OCI_Alamo_2-St._Hedwig_Solar	2	0.5
OCI_Alamo_2-St._Hedwig_Solar	3	0.5
OCI_Alamo_2-St._Hedwig_Solar	4	0.5
OCI_Alamo_2-St._Hedwig_Solar	5	0.5
OCI_Alamo_2-St._Hedwig_Solar	6	0.5
OCI_Alamo_2-St._Hedwig_Solar	7	0.5
OCI_Alamo_2-St._Hedwig_Solar	8	0.5
OCI_Alamo_2-St._Hedwig_Solar	9	0.5
OCI_Alamo_2-St._Hedwig_Solar	10	0.5
OCI_Alamo_2-St._Hedwig_Solar	11	0.5
OCI_Alamo_2-St._Hedwig_Solar	12	0.5
OCI_Alamo_3-Walzem_Solar	1	0.5
OCI_Alamo_3-Walzem_Solar	2	0.5
OCI_Alamo_3-Walzem_Solar	3	0.5
OCI_Alamo_3-Walzem_Solar	4	0.5
OCI_Alamo_3-Walzem_Solar	5	0.5
OCI_Alamo_3-Walzem_Solar	6	0.5
OCI_Alamo_3-Walzem_Solar	7	0.5
OCI_Alamo_3-Walzem_Solar	8	0.5
OCI_Alamo_3-Walzem_Solar	9	0.5
OCI_Alamo_3-Walzem_Solar	10	0.5
OCI_Alamo_3-Walzem_Solar	11	0.5
OCI_Alamo_3-Walzem_Solar	12	0.5
OCI_Alamo_4_Solar_(Bracketville)	1	0.5
OCI_Alamo_4_Solar_(Bracketville)	2	0.5
OCI_Alamo_4_Solar_(Bracketville)	3	0.5
OCI_Alamo_4_Solar_(Bracketville)	4	0.5
OCI_Alamo_4_Solar_(Bracketville)	5	0.5
OCI_Alamo_4_Solar_(Bracketville)	6	0.5
OCI_Alamo_4_Solar_(Bracketville)	7	0.5
OCI_Alamo_4_Solar_(Bracketville)	8	0.5
OCI_Alamo_4_Solar_(Bracketville)	9	0.5
OCI_Alamo_4_Solar_(Bracketville)	10	0.5
OCI_Alamo_4_Solar_(Bracketville)	11	0.5
OCI_Alamo_4_Solar_(Bracketville)	12	0.5
Renewable_Energy_Alternatives_CCS1	1	0.5
Renewable_Energy_Alternatives_CCS1	2	0.5
Renewable_Energy_Alternatives_CCS1	3	0.5
Renewable_Energy_Alternatives_CCS1	4	0.5
Renewable_Energy_Alternatives_CCS1	5	0.5
Renewable_Energy_Alternatives_CCS1	6	0.5
Renewable_Energy_Alternatives_CCS1	7	0.5
Renewable_Energy_Alternatives_CCS1	8	0.5
Renewable_Energy_Alternatives_CCS1	9	0.5
Renewable_Energy_Alternatives_CCS1	10	0.5
Renewable_Energy_Alternatives_CCS1	11	0.5
Renewable_Energy_Alternatives_CCS1	12	0.5
SunEdison_CPS3_Somerset_1_Solar	1	0.5
SunEdison_CPS3_Somerset_1_Solar	2	0.5
SunEdison_CPS3_Somerset_1_Solar	3	0.5
SunEdison_CPS3_Somerset_1_Solar	4	0.5
SunEdison_CPS3_Somerset_1_Solar	5	0.5
SunEdison_CPS3_Somerset_1_Solar	6	0.5
SunEdison_CPS3_Somerset_1_Solar	7	0.5
SunEdison_CPS3_Somerset_1_Solar	8	0.5
SunEdison_CPS3_Somerset_1_Solar	9	0.5
SunEdison_CPS3_Somerset_1_Solar	10	0.5
SunEdison_CPS3_Somerset_1_Solar	11	0.5
SunEdison_CPS3_Somerset_1_Solar	12	0.5
SunEdison_Rabel_Road_Solar	1	0.5
SunEdison_Rabel_Road_Solar	2	0.5
SunEdison_Rabel_Road_Solar	3	0.5
SunEdison_Rabel_Road_Solar	4	0.5
SunEdison_Rabel_Road_Solar	5	0.5
SunEdison_Rabel_Road_Solar	6	0.5
SunEdison_Rabel_Road_Solar	7	0.5
SunEdison_Rabel_Road_Solar	8	0.5
SunEdison_Rabel_Road_Solar	9	0.5
SunEdison_Rabel_Road_Solar	10	0.5
SunEdison_Rabel_Road_Solar	11	0.5
SunEdison_Rabel_Road_Solar	12	0.5
SunEdison_Somerset_2_Solar	1	0.5
SunEdison_Somerset_2_Solar	2	0.5
SunEdison_Somerset_2_Solar	3	0.5
SunEdison_Somerset_2_Solar	4	0.5
SunEdison_Somerset_2_Solar	5	0.5
SunEdison_Somerset_2_Solar	6	0.5
SunEdison_Somerset_2_Solar	7	0.5
SunEdison_Somerset_2_Solar	8	0.5
SunEdison_Somerset_2_Solar	9	0.5
SunEdison_Somerset_2_Solar	10	0.5
SunEdison_Somerset_2_Solar	11	0.5
SunEdison_Somerset_2_Solar	12	0.5
SunEdison_Valley_Road_Solar	1	0.5
SunEdison_Valley_Road_Solar	2	0.5
SunEdison_Valley_Road_Solar	3	0.5
SunEdison_Valley_Road_Solar	4	0.5
SunEdison_Valley_Road_Solar	5	0.5
SunEdison_Valley_Road_Solar	6	0.5
SunEdison_Valley_Road_Solar	7	0.5
SunEdison_Valley_Road_Solar	8	0.5
SunEdison_Valley_Road_Solar	9	0.5
SunEdison_Valley_Road_Solar	10	0.5
SunEdison_Valley_Road_Solar	11	0.5
SunEdison_Valley_Road_Solar	12	0.5
Webberville_Solar	1	0.5
Webberville_Solar	2	0.5
Webberville_Solar	3	0.5
Webberville_Solar	4	0.5
Webberville_Solar	5	0.5
Webberville_Solar	6	0.5
Webberville_Solar	7	0.5
Webberville_Solar	8	0.5
Webberville_Solar	9	0.5
Webberville_Solar	10	0.5
Webberville_Solar	11	0.5
Webberville_Solar	12	0.5
Anacacho_Wind	1	0.5
Anacacho_Wind	2	0.5
Anacacho_Wind	3	0.5
Anacacho_Wind	4	0.5
Anacacho_Wind	5	0.5
Anacacho_Wind	6	0.5
Anacacho_Wind	7	0.5
Anacacho_Wind	8	0.5
Anacacho_Wind	9	0.5
Anacacho_Wind	10	0.5
Anacacho_Wind	11	0.5
Anacacho_Wind	12	0.5
Barton_Chapel_Wind	1	0.5
Barton_Chapel_Wind	2	0.5
Barton_Chapel_Wind	3	0.5
Barton_Chapel_Wind	4	0.5
Barton_Chapel_Wind	5	0.5
Barton_Chapel_Wind	6	0.5
Barton_Chapel_Wind	7	0.5
Barton_Chapel_Wind	8	0.5
Barton_Chapel_Wind	9	0.5
Barton_Chapel_Wind	10	0.5
Barton_Chapel_Wind	11	0.5
Barton_Chapel_Wind	12	0.5
Blue_Summit_Wind_5	1	0.5
Blue_Summit_Wind_5	2	0.5
Blue_Summit_Wind_5	3	0.5
Blue_Summit_Wind_5	4	0.5
Blue_Summit_Wind_5	5	0.5
Blue_Summit_Wind_5	6	0.5
Blue_Summit_Wind_5	7	0.5
Blue_Summit_Wind_5	8	0.5
Blue_Summit_Wind_5	9	0.5
Blue_Summit_Wind_5	10	0.5
Blue_Summit_Wind_5	11	0.5
Blue_Summit_Wind_5	12	0.5
Blue_Summit_Wind_6	1	0.5
Blue_Summit_Wind_6	2	0.5
Blue_Summit_Wind_6	3	0.5
Blue_Summit_Wind_6	4	0.5
Blue_Summit_Wind_6	5	0.5
Blue_Summit_Wind_6	6	0.5
Blue_Summit_Wind_6	7	0.5
Blue_Summit_Wind_6	8	0.5
Blue_Summit_Wind_6	9	0.5
Blue_Summit_Wind_6	10	0.5
Blue_Summit_Wind_6	11	0.5
Blue_Summit_Wind_6	12	0.5
Bobcat_Bluff_Wind	1	0.5
Bobcat_Bluff_Wind	2	0.5
Bobcat_Bluff_Wind	3	0.5
Bobcat_Bluff_Wind	4	0.5
Bobcat_Bluff_Wind	5	0.5
Bobcat_Bluff_Wind	6	0.5
Bobcat_Bluff_Wind	7	0.5
Bobcat_Bluff_Wind	8	0.5
Bobcat_Bluff_Wind	9	0.5
Bobcat_Bluff_Wind	10	0.5
Bobcat_Bluff_Wind	11	0.5
Bobcat_Bluff_Wind	12	0.5
Briscoe_Wind_Farm	1	0.5
Briscoe_Wind_Farm	2	0.5
Briscoe_Wind_Farm	3	0.5
Briscoe_Wind_Farm	4	0.5
Briscoe_Wind_Farm	5	0.5
Briscoe_Wind_Farm	6	0.5
Briscoe_Wind_Farm	7	0.5
Briscoe_Wind_Farm	8	0.5
Briscoe_Wind_Farm	9	0.5
Briscoe_Wind_Farm	10	0.5
Briscoe_Wind_Farm	11	0.5
Briscoe_Wind_Farm	12	0.5
Buffalo_Gap_Wind_Farm_1	1	0.5
Buffalo_Gap_Wind_Farm_1	2	0.5
Buffalo_Gap_Wind_Farm_1	3	0.5
Buffalo_Gap_Wind_Farm_1	4	0.5
Buffalo_Gap_Wind_Farm_1	5	0.5
Buffalo_Gap_Wind_Farm_1	6	0.5
Buffalo_Gap_Wind_Farm_1	7	0.5
Buffalo_Gap_Wind_Farm_1	8	0.5
Buffalo_Gap_Wind_Farm_1	9	0.5
Buffalo_Gap_Wind_Farm_1	10	0.5
Buffalo_Gap_Wind_Farm_1	11	0.5
Buffalo_Gap_Wind_Farm_1	12	0.5
Buffalo_Gap_Wind_Farm_2_1	1	0.5
Buffalo_Gap_Wind_Farm_2_1	2	0.5
Buffalo_Gap_Wind_Farm_2_1	3	0.5
Buffalo_Gap_Wind_Farm_2_1	4	0.5
Buffalo_Gap_Wind_Farm_2_1	5	0.5
Buffalo_Gap_Wind_Farm_2_1	6	0.5
Buffalo_Gap_Wind_Farm_2_1	7	0.5
Buffalo_Gap_Wind_Farm_2_1	8	0.5
Buffalo_Gap_Wind_Farm_2_1	9	0.5
Buffalo_Gap_Wind_Farm_2_1	10	0.5
Buffalo_Gap_Wind_Farm_2_1	11	0.5
Buffalo_Gap_Wind_Farm_2_1	12	0.5
Buffalo_Gap_Wind_Farm_2_2	1	0.5
Buffalo_Gap_Wind_Farm_2_2	2	0.5
Buffalo_Gap_Wind_Farm_2_2	3	0.5
Buffalo_Gap_Wind_Farm_2_2	4	0.5
Buffalo_Gap_Wind_Farm_2_2	5	0.5
Buffalo_Gap_Wind_Farm_2_2	6	0.5
Buffalo_Gap_Wind_Farm_2_2	7	0.5
Buffalo_Gap_Wind_Farm_2_2	8	0.5
Buffalo_Gap_Wind_Farm_2_2	9	0.5
Buffalo_Gap_Wind_Farm_2_2	10	0.5
Buffalo_Gap_Wind_Farm_2_2	11	0.5
Buffalo_Gap_Wind_Farm_2_2	12	0.5
Buffalo_Gap_Wind_Farm_3	1	0.5
Buffalo_Gap_Wind_Farm_3	2	0.5
Buffalo_Gap_Wind_Farm_3	3	0.5
Buffalo_Gap_Wind_Farm_3	4	0.5
Buffalo_Gap_Wind_Farm_3	5	0.5
Buffalo_Gap_Wind_Farm_3	6	0.5
Buffalo_Gap_Wind_Farm_3	7	0.5
Buffalo_Gap_Wind_Farm_3	8	0.5
Buffalo_Gap_Wind_Farm_3	9	0.5
Buffalo_Gap_Wind_Farm_3	10	0.5
Buffalo_Gap_Wind_Farm_3	11	0.5
Buffalo_Gap_Wind_Farm_3	12	0.5
Bull_Creek_Wind_Plant_U1	1	0.5
Bull_Creek_Wind_Plant_U1	2	0.5
Bull_Creek_Wind_Plant_U1	3	0.5
Bull_Creek_Wind_Plant_U1	4	0.5
Bull_Creek_Wind_Plant_U1	5	0.5
Bull_Creek_Wind_Plant_U1	6	0.5
Bull_Creek_Wind_Plant_U1	7	0.5
Bull_Creek_Wind_Plant_U1	8	0.5
Bull_Creek_Wind_Plant_U1	9	0.5
Bull_Creek_Wind_Plant_U1	10	0.5
Bull_Creek_Wind_Plant_U1	11	0.5
Bull_Creek_Wind_Plant_U1	12	0.5
Bull_Creek_Wind_Plant_U2	1	0.5
Bull_Creek_Wind_Plant_U2	2	0.5
Bull_Creek_Wind_Plant_U2	3	0.5
Bull_Creek_Wind_Plant_U2	4	0.5
Bull_Creek_Wind_Plant_U2	5	0.5
Bull_Creek_Wind_Plant_U2	6	0.5
Bull_Creek_Wind_Plant_U2	7	0.5
Bull_Creek_Wind_Plant_U2	8	0.5
Bull_Creek_Wind_Plant_U2	9	0.5
Bull_Creek_Wind_Plant_U2	10	0.5
Bull_Creek_Wind_Plant_U2	11	0.5
Bull_Creek_Wind_Plant_U2	12	0.5
Callahan_Wind	1	0.5
Callahan_Wind	2	0.5
Callahan_Wind	3	0.5
Callahan_Wind	4	0.5
Callahan_Wind	5	0.5
Callahan_Wind	6	0.5
Callahan_Wind	7	0.5
Callahan_Wind	8	0.5
Callahan_Wind	9	0.5
Callahan_Wind	10	0.5
Callahan_Wind	11	0.5
Callahan_Wind	12	0.5
Camp_Springs_Wind_1	1	0.5
Camp_Springs_Wind_1	2	0.5
Camp_Springs_Wind_1	3	0.5
Camp_Springs_Wind_1	4	0.5
Camp_Springs_Wind_1	5	0.5
Camp_Springs_Wind_1	6	0.5
Camp_Springs_Wind_1	7	0.5
Camp_Springs_Wind_1	8	0.5
Camp_Springs_Wind_1	9	0.5
Camp_Springs_Wind_1	10	0.5
Camp_Springs_Wind_1	11	0.5
Camp_Springs_Wind_1	12	0.5
Camp_Springs_Wind_2	1	0.5
Camp_Springs_Wind_2	2	0.5
Camp_Springs_Wind_2	3	0.5
Camp_Springs_Wind_2	4	0.5
Camp_Springs_Wind_2	5	0.5
Camp_Springs_Wind_2	6	0.5
Camp_Springs_Wind_2	7	0.5
Camp_Springs_Wind_2	8	0.5
Camp_Springs_Wind_2	9	0.5
Camp_Springs_Wind_2	10	0.5
Camp_Springs_Wind_2	11	0.5
Camp_Springs_Wind_2	12	0.5
Capricorn_Ridge_Wind_1	1	0.5
Capricorn_Ridge_Wind_1	2	0.5
Capricorn_Ridge_Wind_1	3	0.5
Capricorn_Ridge_Wind_1	4	0.5
Capricorn_Ridge_Wind_1	5	0.5
Capricorn_Ridge_Wind_1	6	0.5
Capricorn_Ridge_Wind_1	7	0.5
Capricorn_Ridge_Wind_1	8	0.5
Capricorn_Ridge_Wind_1	9	0.5
Capricorn_Ridge_Wind_1	10	0.5
Capricorn_Ridge_Wind_1	11	0.5
Capricorn_Ridge_Wind_1	12	0.5
Capricorn_Ridge_Wind_2	1	0.5
Capricorn_Ridge_Wind_2	2	0.5
Capricorn_Ridge_Wind_2	3	0.5
Capricorn_Ridge_Wind_2	4	0.5
Capricorn_Ridge_Wind_2	5	0.5
Capricorn_Ridge_Wind_2	6	0.5
Capricorn_Ridge_Wind_2	7	0.5
Capricorn_Ridge_Wind_2	8	0.5
Capricorn_Ridge_Wind_2	9	0.5
Capricorn_Ridge_Wind_2	10	0.5
Capricorn_Ridge_Wind_2	11	0.5
Capricorn_Ridge_Wind_2	12	0.5
Capricorn_Ridge_Wind_3	1	0.5
Capricorn_Ridge_Wind_3	2	0.5
Capricorn_Ridge_Wind_3	3	0.5
Capricorn_Ridge_Wind_3	4	0.5
Capricorn_Ridge_Wind_3	5	0.5
Capricorn_Ridge_Wind_3	6	0.5
Capricorn_Ridge_Wind_3	7	0.5
Capricorn_Ridge_Wind_3	8	0.5
Capricorn_Ridge_Wind_3	9	0.5
Capricorn_Ridge_Wind_3	10	0.5
Capricorn_Ridge_Wind_3	11	0.5
Capricorn_Ridge_Wind_3	12	0.5
Capricorn_Ridge_Wind_4	1	0.5
Capricorn_Ridge_Wind_4	2	0.5
Capricorn_Ridge_Wind_4	3	0.5
Capricorn_Ridge_Wind_4	4	0.5
Capricorn_Ridge_Wind_4	5	0.5
Capricorn_Ridge_Wind_4	6	0.5
Capricorn_Ridge_Wind_4	7	0.5
Capricorn_Ridge_Wind_4	8	0.5
Capricorn_Ridge_Wind_4	9	0.5
Capricorn_Ridge_Wind_4	10	0.5
Capricorn_Ridge_Wind_4	11	0.5
Capricorn_Ridge_Wind_4	12	0.5
Cedro_Hill_Wind_1	1	0.5
Cedro_Hill_Wind_1	2	0.5
Cedro_Hill_Wind_1	3	0.5
Cedro_Hill_Wind_1	4	0.5
Cedro_Hill_Wind_1	5	0.5
Cedro_Hill_Wind_1	6	0.5
Cedro_Hill_Wind_1	7	0.5
Cedro_Hill_Wind_1	8	0.5
Cedro_Hill_Wind_1	9	0.5
Cedro_Hill_Wind_1	10	0.5
Cedro_Hill_Wind_1	11	0.5
Cedro_Hill_Wind_1	12	0.5
Cedro_Hill_Wind_2	1	0.5
Cedro_Hill_Wind_2	2	0.5
Cedro_Hill_Wind_2	3	0.5
Cedro_Hill_Wind_2	4	0.5
Cedro_Hill_Wind_2	5	0.5
Cedro_Hill_Wind_2	6	0.5
Cedro_Hill_Wind_2	7	0.5
Cedro_Hill_Wind_2	8	0.5
Cedro_Hill_Wind_2	9	0.5
Cedro_Hill_Wind_2	10	0.5
Cedro_Hill_Wind_2	11	0.5
Cedro_Hill_Wind_2	12	0.5
Champion_Wind_Farm	1	0.5
Champion_Wind_Farm	2	0.5
Champion_Wind_Farm	3	0.5
Champion_Wind_Farm	4	0.5
Champion_Wind_Farm	5	0.5
Champion_Wind_Farm	6	0.5
Champion_Wind_Farm	7	0.5
Champion_Wind_Farm	8	0.5
Champion_Wind_Farm	9	0.5
Champion_Wind_Farm	10	0.5
Champion_Wind_Farm	11	0.5
Champion_Wind_Farm	12	0.5
Desert_Sky_Wind_Farm_1	1	0.5
Desert_Sky_Wind_Farm_1	2	0.5
Desert_Sky_Wind_Farm_1	3	0.5
Desert_Sky_Wind_Farm_1	4	0.5
Desert_Sky_Wind_Farm_1	5	0.5
Desert_Sky_Wind_Farm_1	6	0.5
Desert_Sky_Wind_Farm_1	7	0.5
Desert_Sky_Wind_Farm_1	8	0.5
Desert_Sky_Wind_Farm_1	9	0.5
Desert_Sky_Wind_Farm_1	10	0.5
Desert_Sky_Wind_Farm_1	11	0.5
Desert_Sky_Wind_Farm_1	12	0.5
Desert_Sky_Wind_Farm_2	1	0.5
Desert_Sky_Wind_Farm_2	2	0.5
Desert_Sky_Wind_Farm_2	3	0.5
Desert_Sky_Wind_Farm_2	4	0.5
Desert_Sky_Wind_Farm_2	5	0.5
Desert_Sky_Wind_Farm_2	6	0.5
Desert_Sky_Wind_Farm_2	7	0.5
Desert_Sky_Wind_Farm_2	8	0.5
Desert_Sky_Wind_Farm_2	9	0.5
Desert_Sky_Wind_Farm_2	10	0.5
Desert_Sky_Wind_Farm_2	11	0.5
Desert_Sky_Wind_Farm_2	12	0.5
Elbow_Creek_Wind	1	0.5
Elbow_Creek_Wind	2	0.5
Elbow_Creek_Wind	3	0.5
Elbow_Creek_Wind	4	0.5
Elbow_Creek_Wind	5	0.5
Elbow_Creek_Wind	6	0.5
Elbow_Creek_Wind	7	0.5
Elbow_Creek_Wind	8	0.5
Elbow_Creek_Wind	9	0.5
Elbow_Creek_Wind	10	0.5
Elbow_Creek_Wind	11	0.5
Elbow_Creek_Wind	12	0.5
Forest_Creek_Wind_Farm	1	0.5
Forest_Creek_Wind_Farm	2	0.5
Forest_Creek_Wind_Farm	3	0.5
Forest_Creek_Wind_Farm	4	0.5
Forest_Creek_Wind_Farm	5	0.5
Forest_Creek_Wind_Farm	6	0.5
Forest_Creek_Wind_Farm	7	0.5
Forest_Creek_Wind_Farm	8	0.5
Forest_Creek_Wind_Farm	9	0.5
Forest_Creek_Wind_Farm	10	0.5
Forest_Creek_Wind_Farm	11	0.5
Forest_Creek_Wind_Farm	12	0.5
Goat_Wind	1	0.5
Goat_Wind	2	0.5
Goat_Wind	3	0.5
Goat_Wind	4	0.5
Goat_Wind	5	0.5
Goat_Wind	6	0.5
Goat_Wind	7	0.5
Goat_Wind	8	0.5
Goat_Wind	9	0.5
Goat_Wind	10	0.5
Goat_Wind	11	0.5
Goat_Wind	12	0.5
Goat_Wind_2	1	0.5
Goat_Wind_2	2	0.5
Goat_Wind_2	3	0.5
Goat_Wind_2	4	0.5
Goat_Wind_2	5	0.5
Goat_Wind_2	6	0.5
Goat_Wind_2	7	0.5
Goat_Wind_2	8	0.5
Goat_Wind_2	9	0.5
Goat_Wind_2	10	0.5
Goat_Wind_2	11	0.5
Goat_Wind_2	12	0.5
Goldthwaite_Wind_1	1	0.5
Goldthwaite_Wind_1	2	0.5
Goldthwaite_Wind_1	3	0.5
Goldthwaite_Wind_1	4	0.5
Goldthwaite_Wind_1	5	0.5
Goldthwaite_Wind_1	6	0.5
Goldthwaite_Wind_1	7	0.5
Goldthwaite_Wind_1	8	0.5
Goldthwaite_Wind_1	9	0.5
Goldthwaite_Wind_1	10	0.5
Goldthwaite_Wind_1	11	0.5
Goldthwaite_Wind_1	12	0.5
Grandview_1_(Conway)_GV1A	1	0.5
Grandview_1_(Conway)_GV1A	2	0.5
Grandview_1_(Conway)_GV1A	3	0.5
Grandview_1_(Conway)_GV1A	4	0.5
Grandview_1_(Conway)_GV1A	5	0.5
Grandview_1_(Conway)_GV1A	6	0.5
Grandview_1_(Conway)_GV1A	7	0.5
Grandview_1_(Conway)_GV1A	8	0.5
Grandview_1_(Conway)_GV1A	9	0.5
Grandview_1_(Conway)_GV1A	10	0.5
Grandview_1_(Conway)_GV1A	11	0.5
Grandview_1_(Conway)_GV1A	12	0.5
Grandview_1_(Conway)_GV1B	1	0.5
Grandview_1_(Conway)_GV1B	2	0.5
Grandview_1_(Conway)_GV1B	3	0.5
Grandview_1_(Conway)_GV1B	4	0.5
Grandview_1_(Conway)_GV1B	5	0.5
Grandview_1_(Conway)_GV1B	6	0.5
Grandview_1_(Conway)_GV1B	7	0.5
Grandview_1_(Conway)_GV1B	8	0.5
Grandview_1_(Conway)_GV1B	9	0.5
Grandview_1_(Conway)_GV1B	10	0.5
Grandview_1_(Conway)_GV1B	11	0.5
Grandview_1_(Conway)_GV1B	12	0.5
Green_Mountain_Wind_(Brazos)_U1	1	0.5
Green_Mountain_Wind_(Brazos)_U1	2	0.5
Green_Mountain_Wind_(Brazos)_U1	3	0.5
Green_Mountain_Wind_(Brazos)_U1	4	0.5
Green_Mountain_Wind_(Brazos)_U1	5	0.5
Green_Mountain_Wind_(Brazos)_U1	6	0.5
Green_Mountain_Wind_(Brazos)_U1	7	0.5
Green_Mountain_Wind_(Brazos)_U1	8	0.5
Green_Mountain_Wind_(Brazos)_U1	9	0.5
Green_Mountain_Wind_(Brazos)_U1	10	0.5
Green_Mountain_Wind_(Brazos)_U1	11	0.5
Green_Mountain_Wind_(Brazos)_U1	12	0.5
Green_Mountain_Wind_(Brazos)_U2	1	0.5
Green_Mountain_Wind_(Brazos)_U2	2	0.5
Green_Mountain_Wind_(Brazos)_U2	3	0.5
Green_Mountain_Wind_(Brazos)_U2	4	0.5
Green_Mountain_Wind_(Brazos)_U2	5	0.5
Green_Mountain_Wind_(Brazos)_U2	6	0.5
Green_Mountain_Wind_(Brazos)_U2	7	0.5
Green_Mountain_Wind_(Brazos)_U2	8	0.5
Green_Mountain_Wind_(Brazos)_U2	9	0.5
Green_Mountain_Wind_(Brazos)_U2	10	0.5
Green_Mountain_Wind_(Brazos)_U2	11	0.5
Green_Mountain_Wind_(Brazos)_U2	12	0.5
Green_Pastures_Wind_1	1	0.5
Green_Pastures_Wind_1	2	0.5
Green_Pastures_Wind_1	3	0.5
Green_Pastures_Wind_1	4	0.5
Green_Pastures_Wind_1	5	0.5
Green_Pastures_Wind_1	6	0.5
Green_Pastures_Wind_1	7	0.5
Green_Pastures_Wind_1	8	0.5
Green_Pastures_Wind_1	9	0.5
Green_Pastures_Wind_1	10	0.5
Green_Pastures_Wind_1	11	0.5
Green_Pastures_Wind_1	12	0.5
Green_Pastures_Wind_2	1	0.5
Green_Pastures_Wind_2	2	0.5
Green_Pastures_Wind_2	3	0.5
Green_Pastures_Wind_2	4	0.5
Green_Pastures_Wind_2	5	0.5
Green_Pastures_Wind_2	6	0.5
Green_Pastures_Wind_2	7	0.5
Green_Pastures_Wind_2	8	0.5
Green_Pastures_Wind_2	9	0.5
Green_Pastures_Wind_2	10	0.5
Green_Pastures_Wind_2	11	0.5
Green_Pastures_Wind_2	12	0.5
Hackberry_Wind_Farm	1	0.5
Hackberry_Wind_Farm	2	0.5
Hackberry_Wind_Farm	3	0.5
Hackberry_Wind_Farm	4	0.5
Hackberry_Wind_Farm	5	0.5
Hackberry_Wind_Farm	6	0.5
