GEN_TPS_1	GEN_TPS_2	DispatchGen
Sweeny_Cogen_Facility	4	52.4987679999995
Texas_City_1	5	0.0
Panda_Temple_II_CTG1	3	0.0
Magic_Valley_Wind_(Redfish)_1B	2	103.5
W_A_Parish_7	8	0.0
Winchester_Power_Park_4	7	0.0
King_Mountain_Wind_NE	3	79.3
Horse_Hollow_Wind_2	9	158.0
Blue_Wing_1_Solar	9	7.6
ExxonMobil_Baytown_Refinery	9	4.3
Panhandle_Wind_1_U2	3	109.2
Senate_Wind	1	150.0
T_H_Wharton_GT_55	4	0.0
Stephens_Ranch_Wind_2	12	0.0
Capricorn_Ridge_Wind_1	6	214.5
Silas_Ray_10	8	0.0
Stephens_Ranch_Wind_1	1	211.2
Rio_Nogales_1	6	325.88303
Capricorn_Ridge_Wind_2	11	186.0
W_A_Parish_1	8	0.0
Decker_Creek_2	10	420.0
V_H_Braunig_7	4	0.0
R_W_Miller_2	8	0.0
Forney_Energy_Center_2	9	0.0
Oklaunion_1	3	0.0
Sherbino_1_Wind	4	150.0
Downie_Ranch_Solar_(OCI_Alamo_5)	2	94.9999999999996
Fayette_Power_Project_3	3	0.0
Mountain_Creek_6	7	0.0
Cameron_Wind	1	165.0
Penascal_Wind_3	8	100.8
Bull_Creek_Wind_Plant_U1	10	88.0
T_H_Wharton_GT_54	10	0.0
OCI_Alamo_2-St._Hedwig_Solar	10	4.4
South_Texas_U2	8	1295.0
Sweetwater_Wind_2B	7	79.446709999997
Green_Pastures_Wind_1	11	150.0
R_W_Miller_1	7	0.0
Webberville_Solar	1	26.7
W_A_Parish_7	6	0.0
Longhorn_Wind_North_U2	8	100.0
Logan's_Gap_Wind_I_U2	7	106.3
Miami_Wind_G2	7	144.3
Jumbo_Road_Wind_1	11	146.2
Panda_Temple_II_CTG1	4	0.0
Equistar_Corpus_Christi	5	12.0
WKN_Mozart_Wind	3	0.0
Magic_Valley_Wind_(Redfish)_1B	11	103.5
Sand_Hill_Energy_Center_GT_7	7	0.0
Green_Power_2	2	0.0
Midlothian_1	5	0.0
J_K_Spruce_2	4	0.0
W_A_Parish_T1	8	0.0
Sweetwater_Wind_4-4A	4	0.0
Tenaska_Frontier_Station	6	0.0
Los_Vientos_Wind_II	6	201.6
ExTex_La_Porte_Power_Station_AirPro_3	4	0.0
Stephens_Ranch_Wind_2	11	0.0
Leon_Creek_Peaking_2	8	0.0
W_A_Parish_T1	5	0.0
Blue_Summit_Wind_6	4	126.4
Green_Mountain_Wind_(Brazos)_U1	8	99.0
Handley_3	8	0.0
W_A_Parish_4	10	0.0
Oklaunion_1	8	0.0
Powerlane_Plant_2	1	0.0
Sherbino_1_Wind	3	150.0
