generation_project,timestamp,DispatchEmissions_tCO2_per_typical_yr,DispatchGen_MW,Energy_GWh_typical_yr,VariableCost_per_yr,gen_dbid,gen_energy_source,gen_load_zone,gen_tech,period,tp_weight_in_year_hrs
Sweeny_Cogen_Facility,2018010103,26820.8663505,52.498768,38.32410064,181272.996027,Sweeny_Cogen_Facility,NG,Coastal,NG_OCGT-CHP,2018,730
Texas_City_1,2018010104,0.0,0.0,0.0,0.0,Texas_City_1,NG,Coastal,NG_CCGT-CHP,2018,730
Panda_Temple_II_CTG1,2018010102,0.0,0.0,0.0,0.0,Panda_Temple_II_CTG1,NG,Northeast,NG_CCGT,2018,730
Magic_Valley_Wind_(Redfish)_1B,2018010101,0.0,103.5,75.555,0.0,Magic_Valley_Wind_(Redfish)_1B,Wind-C,South,Wind-C_WT,2018,730
W_A_Parish_7,2018010107,0.0,0.0,0.0,0.0,W_A_Parish_7,Coal-Sub,Coastal,Coal-Sub_ST,2018,730
Winchester_Power_Park_4,2018010106,0.0,0.0,0.0,0.0,Winchester_Power_Park_4,NG,South,NG_OCGT,2018,730
King_Mountain_Wind_NE,2018010102,0.0,79.3,57.889,0.0,King_Mountain_Wind_NE,Wind,West,Wind_WT,2018,730
Horse_Hollow_Wind_2,2018010108,0.0,158.0,115.34,0.0,Horse_Hollow_Wind_2,Wind,West,Wind_WT,2018,730
Blue_Wing_1_Solar,2018010108,0.0,7.6,5.548,1997.28,Blue_Wing_1_Solar,Solar,South,Solar_PV,2018,730
ExxonMobil_Baytown_Refinery,2018010108,3527.43205202,4.3,3.139,14847.47,ExxonMobil_Baytown_Refinery,NG,Coastal,NG_OCGT-CHP,2018,730
Panhandle_Wind_1_U2,2018010102,0.0,109.2,79.716,0.0,Panhandle_Wind_1_U2,Wind,West,Wind_WT,2018,730
Senate_Wind,2018010100,0.0,150.0,109.5,0.0,Senate_Wind,Wind,Northeast,Wind_WT,2018,730
T_H_Wharton_GT_55,2018010103,0.0,0.0,0.0,0.0,T_H_Wharton_GT_55,NG,Coastal,NG_OCGT,2018,730
Stephens_Ranch_Wind_2,2018010111,0.0,0.0,0.0,0.0,Stephens_Ranch_Wind_2,Wind,West,Wind_WT,2018,730
Capricorn_Ridge_Wind_1,2018010105,0.0,214.5,156.585,0.0,Capricorn_Ridge_Wind_1,Wind,West,Wind_WT,2018,730
Silas_Ray_10,2018010107,0.0,0.0,0.0,0.0,Silas_Ray_10,NG,South,NG_OCGT,2018,730
Stephens_Ranch_Wind_1,2018010100,0.0,211.2,154.176,0.0,Stephens_Ranch_Wind_1,Wind,West,Wind_WT,2018,730
Rio_Nogales_1,2018010105,148916.418679,325.88303,237.8946119,1125241.51429,Rio_Nogales_1,NG,South,NG_CCGT,2018,730
Capricorn_Ridge_Wind_2,2018010110,0.0,186.0,135.78,0.0,Capricorn_Ridge_Wind_2,Wind,West,Wind_WT,2018,730
W_A_Parish_1,2018010107,0.0,0.0,0.0,0.0,W_A_Parish_1,NG,Coastal,NG_ST,2018,730
Decker_Creek_2,2018010109,255703.7431,420.0,306.6,1450218.0,Decker_Creek_2,NG,South,NG_ST,2018,730
V_H_Braunig_7,2018010103,0.0,0.0,0.0,0.0,V_H_Braunig_7,NG,South,NG_OCGT,2018,730
R_W_Miller_2,2018010107,0.0,0.0,0.0,0.0,R_W_Miller_2,NG,Northeast,NG_ST,2018,730
Forney_Energy_Center_2,2018010108,0.0,0.0,0.0,0.0,Forney_Energy_Center_2,NG,Northeast,NG_CCGT,2018,730
Oklaunion_1,2018010102,0.0,0.0,0.0,0.0,Oklaunion_1,Coal-Sub,West,Coal-Sub_ST,2018,730
Sherbino_1_Wind,2018010103,0.0,150.0,109.5,0.0,Sherbino_1_Wind,Wind,West,Wind_WT,2018,730
Downie_Ranch_Solar_(OCI_Alamo_5),2018010101,0.0,95.0,69.35,24966.0,Downie_Ranch_Solar_(OCI_Alamo_5),Solar,South,Solar_PV,2018,730
Fayette_Power_Project_3,2018010102,0.0,0.0,0.0,0.0,Fayette_Power_Project_3,Coal-Sub,South,Coal-Sub_ST,2018,730
Mountain_Creek_6,2018010106,0.0,0.0,0.0,0.0,Mountain_Creek_6,NG,Northeast,NG_ST,2018,730
Cameron_Wind,2018010100,0.0,165.0,120.45,0.0,Cameron_Wind,Wind-C,South,Wind-C_WT,2018,730
Penascal_Wind_3,2018010107,0.0,100.8,73.584,0.0,Penascal_Wind_3,Wind-C,South,Wind-C_WT,2018,730
Bull_Creek_Wind_Plant_U1,2018010109,0.0,88.0,64.24,0.0,Bull_Creek_Wind_Plant_U1,Wind,West,Wind_WT,2018,730
T_H_Wharton_GT_54,2018010109,0.0,0.0,0.0,0.0,T_H_Wharton_GT_54,NG,Coastal,NG_OCGT,2018,730
OCI_Alamo_2-St._Hedwig_Solar,2018010109,0.0,4.4,3.212,1156.32,OCI_Alamo_2-St._Hedwig_Solar,Solar,South,Solar_PV,2018,730
South_Texas_U2,2018010107,0.0,1295.0,945.35,1257315.5,South_Texas_U2,Uranium,South,Uranium_ST,2018,730
Sweetwater_Wind_2B,2018010106,0.0,79.44671,57.9960983,0.0,Sweetwater_Wind_2B,Wind,West,Wind_WT,2018,730
Green_Pastures_Wind_1,2018010110,0.0,150.0,109.5,0.0,Green_Pastures_Wind_1,Wind,West,Wind_WT,2018,730
R_W_Miller_1,2018010106,0.0,0.0,0.0,0.0,R_W_Miller_1,NG,Northeast,NG_ST,2018,730
Webberville_Solar,2018010100,0.0,26.7,19.491,7016.76,Webberville_Solar,Solar,South,Solar_PV,2018,730
W_A_Parish_7,2018010105,0.0,0.0,0.0,0.0,W_A_Parish_7,Coal-Sub,Coastal,Coal-Sub_ST,2018,730
Longhorn_Wind_North_U2,2018010107,0.0,100.0,73.0,0.0,Longhorn_Wind_North_U2,Wind,West,Wind_WT,2018,730
Logan's_Gap_Wind_I_U2,2018010106,0.0,106.3,77.599,0.0,Logan's_Gap_Wind_I_U2,Wind,Northeast,Wind_WT,2018,730
Miami_Wind_G2,2018010106,0.0,144.3,105.339,0.0,Miami_Wind_G2,Wind,West,Wind_WT,2018,730
Jumbo_Road_Wind_1,2018010110,0.0,146.2,106.726,0.0,Jumbo_Road_Wind_1,Wind,West,Wind_WT,2018,730
Panda_Temple_II_CTG1,2018010103,0.0,0.0,0.0,0.0,Panda_Temple_II_CTG1,NG,Northeast,NG_CCGT,2018,730
Equistar_Corpus_Christi,2018010104,5790.03718028,12.0,8.76,41434.8,Equistar_Corpus_Christi,NG,South,NG_OCGT-CHP,2018,730
WKN_Mozart_Wind,2018010102,0.0,0.0,0.0,0.0,WKN_Mozart_Wind,Wind,West,Wind_WT,2018,730
Magic_Valley_Wind_(Redfish)_1B,2018010110,0.0,103.5,75.555,0.0,Magic_Valley_Wind_(Redfish)_1B,Wind-C,South,Wind-C_WT,2018,730
Sand_Hill_Energy_Center_GT_7,2018010106,0.0,0.0,0.0,0.0,Sand_Hill_Energy_Center_GT_7,NG,South,NG_OCGT,2018,730
Green_Power_2,2018010101,0.0,0.0,0.0,0.0,Green_Power_2,NG,Coastal,NG_CCGT-CHP,2018,730
Midlothian_1,2018010104,0.0,0.0,0.0,0.0,Midlothian_1,NG,Northeast,NG_CCGT,2018,730
J_K_Spruce_2,2018010103,0.0,0.0,0.0,0.0,J_K_Spruce_2,Coal-Sub,South,Coal-Sub_ST,2018,730
W_A_Parish_T1,2018010107,0.0,0.0,0.0,0.0,W_A_Parish_T1,NG,Coastal,NG_OCGT,2018,730
Sweetwater_Wind_4-4A,2018010103,0.0,0.0,0.0,0.0,Sweetwater_Wind_4-4A,Wind,West,Wind_WT,2018,730
Tenaska_Frontier_Station,2018010105,0.0,0.0,0.0,0.0,Tenaska_Frontier_Station,NG,Coastal,NG_CCGT,2018,730
Los_Vientos_Wind_II,2018010105,0.0,201.6,147.168,0.0,Los_Vientos_Wind_II,Wind-C,South,Wind-C_WT,2018,730
ExTex_La_Porte_Power_Station_AirPro_3,2018010103,0.0,0.0,0.0,0.0,ExTex_La_Porte_Power_Station_AirPro_3,NG,Coastal,NG_OCGT,2018,730
Stephens_Ranch_Wind_2,2018010110,0.0,0.0,0.0,0.0,Stephens_Ranch_Wind_2,Wind,West,Wind_WT,2018,730
Leon_Creek_Peaking_2,2018010107,0.0,0.0,0.0,0.0,Leon_Creek_Peaking_2,NG,South,NG_OCGT,2018,730
W_A_Parish_T1,2018010104,0.0,0.0,0.0,0.0,W_A_Parish_T1,NG,Coastal,NG_OCGT,2018,730
Blue_Summit_Wind_6,2018010103,0.0,126.4,92.272,0.0,Blue_Summit_Wind_6,Wind,West,Wind_WT,2018,730
Green_Mountain_Wind_(Brazos)_U1,2018010107,0.0,99.0,72.27,0.0,Green_Mountain_Wind_(Brazos)_U1,Wind,West,Wind_WT,2018,730
Handley_3,2018010107,0.0,0.0,0.0,0.0,Handley_3,NG,Northeast,NG_ST,2018,730
W_A_Parish_4,2018010109,0.0,0.0,0.0,0.0,W_A_Parish_4,NG,Coastal,NG_ST,2018,730
Oklaunion_1,2018010107,0.0,0.0,0.0,0.0,Oklaunion_1,Coal-Sub,West,Coal-Sub_ST,2018,730
Powerlane_Plant_2,2018010100,0.0,0.0,0.0,0.0,Powerlane_Plant_2,NG,Northeast,NG_ST,2018,730
Sherbino_1_Wind,2018010102,0.0,150.0,109.5,0.0,Sherbino_1_Wind,Wind,West,Wind_WT,2018,730
Downie_Ranch_Solar_(OCI_Alamo_5),2018010110,0.0,95.0,69.35,24966.0,Downie_Ranch_Solar_(OCI_Alamo_5),Solar,South,Solar_PV,2018,730
Lone_Star_Wind_1_(Mesquite),2018010109,0.0,200.0,146.0,0.0,Lone_Star_Wind_1_(Mesquite),Wind,Northeast,Wind_WT,2018,730
Desert_Sky_Wind_Farm_1,2018010106,0.0,84.0,61.32,0.0,Desert_Sky_Wind_Farm_1,Wind,West,Wind_WT,2018,730
Tenaska_Kiamichi_Station_1,2018010100,0.0,0.0,0.0,0.0,Tenaska_Kiamichi_Station_1,NG,Northeast,NG_CCGT,2018,730
Penascal_Wind_3,2018010100,0.0,100.8,73.584,0.0,Penascal_Wind_3,Wind-C,South,Wind-C_WT,2018,730
