gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr
Biogas_IC,Coastal,Biogas,2018,214.62,534403.8,0.0
Biogas_IC,Northeast,Biogas,2018,0.0,0.0,0.0
Biogas_IC,South,Biogas,2018,290.832,724171.68,0.0
Biomass_ST,Northeast,Biomass,2018,0.0,0.0,0.0
Coal-Lig_ST,Northeast,Coal-Lig,2018,0.0,0.0,0.0
Coal-Lig_ST,South,Coal-Lig,2018,0.0,0.0,0.0
Coal-Sub_ST,Coastal,Coal-Sub,2018,0.0,0.0,0.0
Coal-Sub_ST,Northeast,Coal-Sub,2018,0.0,0.0,0.0
Coal-Sub_ST,South,Coal-Sub,2018,0.0,0.0,0.0
Coal-Sub_ST,West,Coal-Sub,2018,0.0,0.0,0.0
Hydro_HYDRO,Northeast,Water,2018,0.0,0.0,0.0
Hydro_HYDRO,South,Water,2018,3045.852,5299782.48,0.0
Hydro_HYDRO,West,Water,2018,0.0,0.0,0.0
NG_CCGT,Coastal,NG,2018,13896.2043216,65729046.4413,8058043.42511
NG_CCGT,Northeast,NG,2018,0.0,0.0,0.0
NG_CCGT,South,NG,2018,60543.3847842,286370210.029,36011347.0623
NG_CCGT,West,NG,2018,0.0,0.0,0.0
NG_CCGT-CHP,Coastal,NG,2018,49250.472,232954732.56,31439010.3874
NG_CCGT-CHP,South,NG,2018,11628.024,55000553.52,6807175.51167
NG_CCGT-CHP,West,NG,2018,0.0,0.0,0.0
NG_IC,Northeast,NG,2018,0.0,0.0,0.0
NG_IC,South,NG,2018,1146.0872031,5420992.47066,872358.927621
NG_OCGT,Coastal,NG,2018,1419.12,6712437.6,1492783.78918
NG_OCGT,Northeast,NG,2018,0.0,0.0,0.0
NG_OCGT,South,NG,2018,2400.6550415,11355098.3463,1866151.92892
NG_OCGT,West,NG,2018,0.0,0.0,0.0
NG_OCGT-CHP,Coastal,NG,2018,3811.45613232,18028187.5059,2787925.82745
NG_OCGT-CHP,South,NG,2018,175.2,828696.0,132149.083879
NG_ST,Coastal,NG,2018,16337.4,77275902.0,13850956.6762
NG_ST,Northeast,NG,2018,0.0,0.0,0.0
NG_ST,South,NG,2018,16096.0480497,76134307.2751,13714252.2496
NG_ST,West,NG,2018,0.0,0.0,0.0
Solar_PV,Northeast,Solar,2018,17.52,6307.2,0.0
Solar_PV,South,Solar,2018,2222.412,800068.32,0.0
Solar_PV,West,Solar,2018,0.0,0.0,0.0
Storage_BATT,West,Storage,2018,315.36,0.0,0.0
Uranium_ST,Northeast,Uranium,2018,13111.3859381,17438143.2977,0.0
Uranium_ST,South,Uranium,2018,22609.56,30070714.8,0.0
Wind-C_WT,South,Wind-C,2018,16165.704,0.0,0.0
Wind_WT,Northeast,Wind,2018,15363.288,0.0,0.0
Wind_WT,South,Wind,2018,6927.408,0.0,0.0
Wind_WT,West,Wind,2018,89703.792813,0.0,0.0
