load_zone	timestamp	ZoneTotalCentralDispatch	ZoneTotalDistributedDispatch	zone_demand_mw
West	2018010100	10276.9	0	10276.9
West	2018010101	10255.2	0	10255.2
West	2018010102	10189.5	0	10189.5
West	2018010103	10085.3	0	10085.3
West	2018010104	10112	0	10112
West	2018010105	10285.4	0	10285.4
West	2018010106	10525.2	0	10525.2
West	2018010107	10579.6	0	10579.6
West	2018010108	10532.4	0	10532.4
West	2018010109	10348	0	10348
West	2018010110	10178.2	0	10178.2
West	2018010111	9946.09	0	9946.09
Northeast	2018010100	3209.97	0	3209.97
Northeast	2018010101	3193.75	0	3193.75
Northeast	2018010102	3187.47	0	3187.47
Northeast	2018010103	3199.42	0	3199.42
Northeast	2018010104	3229.36	0	3229.36
Northeast	2018010105	3277.7	0	3277.7
Northeast	2018010106	3325.92	0	3325.92
Northeast	2018010107	3373.43	0	3373.43
Northeast	2018010108	3363.96	0	3363.96
Northeast	2018010109	3298.68	0	3298.68
Northeast	2018010110	3225.52	0	3225.52
Northeast	2018010111	3145.24	0	3145.24
Coastal	2018010100	9996.2	0	9996.2
Coastal	2018010101	9783.44	0	9783.44
Coastal	2018010102	9597.27	0	9597.27
Coastal	2018010103	9470.1	0	9470.1
Coastal	2018010104	9462.2	0	9462.2
Coastal	2018010105	9601.65	0	9601.65
Coastal	2018010106	9761.69	0	9761.69
Coastal	2018010107	9683.43	0	9683.43
Coastal	2018010108	9693.16	0	9693.16
Coastal	2018010109	9811.58	0	9811.58
Coastal	2018010110	9790.2	0	9790.2
Coastal	2018010111	9690.56	0	9690.56
South	2018010100	15848.7	0	15848.7
South	2018010101	15834.1	0	15834.1
South	2018010102	15807.6	0	15807.6
South	2018010103	15915	0	15915
South	2018010104	16252.9	0	16252.9
South	2018010105	16767.9	0	16767.9
South	2018010106	17235.7	0	17235.7
South	2018010107	17409.5	0	17409.5
South	2018010108	17134.8	0	17134.8
South	2018010109	16691.3	0	16691.3
South	2018010110	16032.6	0	16032.6
South	2018010111	15304.5	0	15304.5
