LOAD_ZONE	TIMEPOINT	zone_demand_mw
South	1417	11102.08882
South	1418	10758.70978
South	1419	10498.09498
South	1420	10457.39677
South	1421	10673.83307
South	1422	11122.07073
South	1423	11780.03429
South	1424	12380.94178
South	1425	13068.34788
South	1426	13366.82144
South	1427	13405.22487
South	1428	13363.89043
South	1429	13233.07149
South	1430	13129.07877
South	1431	13086.70243
South	1432	13030.63116
South	1433	12985.81363
South	1434	13094.48936
South	1435	13636.97078
South	1436	14029.08751
South	1437	13764.11607
South	1438	13336.36743
South	1439	12705.19784
South	1440	11929.42498
South	1441	11233.77979
South	1442	10658.67061
South	1443	10317.26795
South	1444	10313.14877
South	1445	10579.76377
South	1446	11367.57239
South	1447	12569.83451
South	1448	14137.68922
South	1449	16035.82142
South	1450	17728.57499
South	1451	18934.01724
South	1452	20030.32824
South	1453	20868.91797
South	1454	21636.73692
South	1455	22263.50986
South	1456	23077.37124
South	1457	23817.52968
South	1458	24383.84692
South	1459	25206.25682
South	1460	25829.4018
South	1461	25659.46669
South	1462	25075.83311
South	1463	24021.29393
South	1464	23384.41491
South	1465	22977.6079
South	1466	22922.376
South	1467	23083.94357
South	1468	23444.70024
South	1469	24025.96941
South	1470	25033.50784
South	1471	26204.06996
South	1472	26781.62907
South	1473	26668.63913
South	1474	26149.74824
South	1475	25669.79641
South	1476	24855.56897
South	1477	23677.54226
South	1478	22533.23315
South	1479	21579.75444
South	1480	20864.40846
South	1481	20550.22326
South	1482	21332.3619
South	1483	22759.9534
South	1484	23396.40829
South	1485	23288.45348
South	1486	22668.91664
South	1487	21482.76978
South	1488	20425.64534
South	1489	19892.44355
South	1490	19694.59157
South	1491	19730.74191
South	1492	19863.78111
South	1493	20340.20544
South	1494	21573.66252
South	1495	23298.96763
South	1496	23602.84144
South	1497	22863.18948
South	1498	21888.33141
South	1499	20742.37214
South	1500	19510.47019
South	1501	18279.15283
South	1502	17286.84311
South	1503	16453.54485
South	1504	15964.76889
South	1505	15825.01045
South	1506	16184.12327
South	1507	17614.48262
South	1508	18806.65174
South	1509	19149.72654
South	1510	18825.61279
South	1511	17905.64069
South	1512	17055.01973
South	1513	16700.41096
South	1514	16598.77417
South	1515	16778.11697
South	1516	17081.45557
South	1517	17784.4042
South	1518	19063.93079
South	1519	21029.6209
South	1520	21128.93853
South	1521	19845.54299
South	1522	19057.83002
South	1523	18381.26758
South	1524	17577.14892
South	1525	16932.09328
South	1526	16387.60893
South	1527	15932.63435
South	1528	15614.0339
South	1529	15745.894
South	1530	16314.36783
South	1531	17239.73122
South	1532	17606.30081
South	1533	17475.51037
South	1534	16889.53831
South	1535	15758.1937
South	1536	14695.57371
South	1537	14132.95367
South	1538	13977.38349
South	1539	14014.99728
South	1540	14246.92025
South	1541	14848.23806
South	1542	16260.20197
South	1543	18326.89355
South	1544	18770.16163
South	1545	18249.40954
South	1546	17826.52644
South	1547	17378.68094
South	1548	16806.80938
South	1549	16164.50781
South	1550	15454.9789
South	1551	14721.88732
South	1552	14289.43131
South	1553	14237.89806
South	1554	14465.42575
South	1555	15500.34228
South	1556	16561.90777
South	1557	16910.9847
South	1558	16715.3356
South	1559	15962.52766
South	1560	15136.8356
South	1561	14754.42842
South	1562	14651.66692
South	1563	14735.919
South	1564	14991.60956
South	1565	15600.64193
South	1566	16933.15869
South	1567	18976.30067
South	1568	19128.20691
South	1569	18372.04979
South	1570	17825.58895
South	1571	17227.15602
South	1572	16373.1575
South	1573	15449.97799
South	1574	14754.32719
South	1575	14175.42559
South	1576	13763.72884
South	1577	13641.55346
South	1578	13742.49962
