GENERATION_PROJECT	PERIOD	gen_tech	gen_load_zone	gen_energy_source	GenCapacity	GenCapitalCosts	GenFixedOMCosts
J_K_Spruce_2	2018	Coal-Sub_ST	South	Coal-Sub	775	5431.26	33759
Nacogdoches_Power	2018	Biomass_ST	Northeast	Biomass	105	735.848	4942.35
B_M_Davis_1	2018	NG_ST	South	NG	330	2312.67	8342.4
Morgan_Creek_2	2018	NG_OCGT	West	NG	68	476.549	1152.6
Hidalgo_1	2018	NG_CCGT	South	NG	458	3209.7	11578.2
Texas_Gulf_Sulphur_(New_Gulf)	2018	NG_OCGT-CHP	Coastal	NG	58.9	412.776	1147.96
Renewable_Energy_Alternatives_CCS1	2018	Solar_PV	Northeast	Solar	2	14.0162	44.26
Logan's_Gap_Wind_I_U1	2018	Wind_WT	Northeast	Wind	103.8	727.438	2721.64
Greens_Bayou_83	2018	NG_OCGT	Coastal	NG	56	392.452	949.2
King_Mountain_Wind_NE	2018	Wind_WT	West	Wind	79.3	555.74	2079.25
South_Texas_U1	2018	Uranium_ST	South	Uranium	1286	9012.39	75385.3
Lone_Star_Wind_1_(Mesquite)	2018	Wind_WT	Northeast	Wind	200	1401.62	5244
Ector_County_Energy	2018	NG_OCGT	West	NG	294	2060.37	7432.32
Powerlane_Plant_1	2018	NG_ST	Northeast	NG	20	140.162	505.6
Trinity_Hills_Wind_1	2018	Wind_WT	Northeast	Wind	117.5	823.449	3080.85
Sam_Rayburn_GT_1	2018	NG_OCGT	South	NG	11	77.0888	214.39
Dallas-Fort_Worth_Area_LFG	2018	Biogas_IC	Northeast	Biogas	35.8	250.889	1685.11
Leon_Creek_Peaking_3	2018	NG_OCGT	South	NG	46	322.372	1162.88
Panther_Creek_2	2018	Wind_WT	West	Wind	115.5	809.433	3028.41
Shannon_Wind	2018	Wind_WT	West	Wind	200	1401.62	5244
Texas_Big_Spring_Wind_A	2018	Wind_WT	West	Wind	27.7	194.124	726.294
Forney_Energy_Center_1	2018	NG_CCGT	Northeast	NG	911	6384.36	23030.1
Greenville_Powerlane_IC3	2018	NG_IC	Northeast	NG	8.4	58.8678	212.352
Silas_Ray_10	2018	NG_OCGT	South	NG	46	322.372	1162.88
Trent_Wind_Farm	2018	Wind_WT	West	Wind	150	1051.21	3933
Sand_Hill_Energy_Center_GT_6	2018	NG_OCGT	South	NG	47	329.38	1188.16
Buffalo_Gap_Wind_Farm_2_1	2018	Wind_WT	West	Wind	115.5	809.433	3028.41
Stryker_Creek_1	2018	NG_ST	Northeast	NG	167	1170.35	2830.65
Permian_Basin_3	2018	NG_OCGT	West	NG	68	476.549	1719.04
Notrees_Wind_Farm_1	2018	Wind_WT	West	Wind	92.6	648.948	2427.97
Cedar_Bayou_1	2018	NG_ST	Coastal	NG	745	5221.02	18833.6
Grandview_1_(Conway)_GV1B	2018	Wind_WT	West	Wind	103.8	727.438	2721.64
Cedro_Hill_Wind_1	2018	Wind_WT	South	Wind	75	525.606	1966.5
O_W_Sommers_2	2018	NG_ST	South	NG	410	2873.31	10364.8
Monticello_U2	2018	Coal-Lig_ST	Northeast	Coal-Lig	535	3749.32	23304.6
Cedar_Bayou_4	2018	NG_CCGT	Coastal	NG	504	3532.07	12741.1
Frontera_1	2018	NG_CCGT	South	NG	524	3672.23	13246.7
Mountain_Creek_8	2018	NG_ST	Northeast	NG	568	3980.59	14359
R_W_Miller_5	2018	NG_OCGT	Northeast	NG	104	728.84	1762.8
W_A_Parish_6	2018	Coal-Sub_ST	Coastal	Coal-Sub	658	4611.31	28662.5
Ray_Olinger_2	2018	NG_ST	Northeast	NG	107	749.864	2704.96
Brazos_Valley_1	2018	NG_CCGT	Coastal	NG	602	4218.86	15218.6
Johnson_County	2018	NG_CCGT	Northeast	NG	269	1885.17	6800.32
Pecos_Wind_(Woodward_2)	2018	Wind_WT	West	Wind	77.2	541.024	2024.18
V_H_Braunig_6	2018	NG_OCGT	South	NG	48	336.388	1213.44
Odessa_Ector_Generating_Station_1	2018	NG_CCGT	West	NG	998.5	6997.56	25242.1
