load_zone	timestamp	ZoneTotalCentralDispatch	ZoneTotalDistributedDispatch	zone_demand_mw
West	2018040100	7141.78	0	7141.78
West	2018040101	6888.65	0	6888.65
West	2018040102	6783.02	0	6783.02
West	2018040103	6847.83	0	6847.83
West	2018040104	7347.05	0	7347.05
West	2018040105	8508.01	0	8508.01
West	2018040106	8984.72	0	8984.72
West	2018040107	8843	0	8843
West	2018040108	9034.79	0	9034.79
West	2018040109	9404.47	0	9404.47
West	2018040110	9734.09	0	9734.09
West	2018040111	10067.5	0	10067.5
West	2018040112	10487	0	10487
West	2018040113	10802.4	0	10802.4
West	2018040114	11150.8	0	11150.8
West	2018040115	11448.9	0	11448.9
West	2018040116	11491	0	11491
West	2018040117	11304.6	0	11304.6
West	2018040118	11153.6	0	11153.6
West	2018040119	11510.7	0	11510.7
West	2018040120	11090.1	0	11090.1
West	2018040121	10167.4	0	10167.4
West	2018040122	9089.9	0	9089.9
West	2018040123	8291.5	0	8291.5
West	2018040200	7826.66	0	7826.66
West	2018040201	7527.37	0	7527.37
West	2018040202	7362.62	0	7362.62
West	2018040203	7416.96	0	7416.96
West	2018040204	7901.73	0	7901.73
West	2018040205	9060.55	0	9060.55
West	2018040206	9499.41	0	9499.41
West	2018040207	9349.78	0	9349.78
West	2018040208	9566.67	0	9566.67
West	2018040209	9902.43	0	9902.43
West	2018040210	10239.2	0	10239.2
West	2018040211	10534.2	0	10534.2
West	2018040212	10786.7	0	10786.7
West	2018040213	11039	0	11039
West	2018040214	11278.8	0	11278.8
West	2018040215	11627.2	0	11627.2
West	2018040216	11860.1	0	11860.1
West	2018040217	11848.9	0	11848.9
West	2018040218	11651.5	0	11651.5
West	2018040219	11999.2	0	11999.2
West	2018040220	11578.9	0	11578.9
West	2018040221	10599.3	0	10599.3
West	2018040222	9441.43	0	9441.43
West	2018040223	8579.03	0	8579.03
West	2018040300	8058.01	0	8058.01
West	2018040301	7698.17	0	7698.17
West	2018040302	7538.15	0	7538.15
West	2018040303	7541.35	0	7541.35
West	2018040304	7985.22	0	7985.22
West	2018040305	9143.88	0	9143.88
West	2018040306	9554.92	0	9554.92
West	2018040307	9480.31	0	9480.31
West	2018040308	9653.8	0	9653.8
West	2018040309	9916.89	0	9916.89
West	2018040310	10210.7	0	10210.7
West	2018040311	10489.8	0	10489.8
West	2018040312	10780	0	10780
West	2018040313	11109.8	0	11109.8
West	2018040314	11451.1	0	11451.1
West	2018040315	11711.2	0	11711.2
West	2018040316	11983	0	11983
West	2018040317	11922.4	0	11922.4
West	2018040318	11690.5	0	11690.5
West	2018040319	11978.3	0	11978.3
West	2018040320	11493.9	0	11493.9
West	2018040321	10531.4	0	10531.4
West	2018040322	9386.44	0	9386.44
West	2018040323	8512.74	0	8512.74
West	2018040400	7888.64	0	7888.64
West	2018040401	7484.98	0	7484.98
West	2018040402	7154.47	0	7154.47
West	2018040403	7026.8	0	7026.8
West	2018040404	7356.88	0	7356.88
West	2018040405	8340.56	0	8340.56
West	2018040406	8668.18	0	8668.18
West	2018040407	8558.44	0	8558.44
West	2018040408	8710.63	0	8710.63
West	2018040409	8952.18	0	8952.18
West	2018040410	8982.75	0	8982.75
West	2018040411	8856.42	0	8856.42
West	2018040412	8875.08	0	8875.08
West	2018040413	8908.17	0	8908.17
West	2018040414	8953.44	0	8953.44
West	2018040415	9030.38	0	9030.38
West	2018040416	8870.8	0	8870.8
West	2018040417	8624.7	0	8624.7
West	2018040418	8539.82	0	8539.82
West	2018040419	8886.46	0	8886.46
West	2018040420	8660.27	0	8660.27
West	2018040421	8204.15	0	8204.15
West	2018040422	7503.32	0	7503.32
West	2018040423	6889.36	0	6889.36
West	2018040500	6497.16	0	6497.16
West	2018040501	6274.69	0	6274.69
West	2018040502	6152.46	0	6152.46
West	2018040503	6147.03	0	6147.03
West	2018040504	6293.29	0	6293.29
West	2018040505	6656.78	0	6656.78
West	2018040506	7044.37	0	7044.37
West	2018040507	7430.06	0	7430.06
West	2018040508	7837.36	0	7837.36
West	2018040509	8038.32	0	8038.32
West	2018040510	8132.76	0	8132.76
West	2018040511	8119.87	0	8119.87
West	2018040512	8056.36	0	8056.36
West	2018040513	7944.28	0	7944.28
West	2018040514	7897.68	0	7897.68
West	2018040515	7919.8	0	7919.8
West	2018040516	7957.63	0	7957.63
West	2018040517	8009.57	0	8009.57
West	2018040518	8257.21	0	8257.21
West	2018040519	8536.81	0	8536.81
West	2018040520	8360.84	0	8360.84
West	2018040521	7985.65	0	7985.65
West	2018040522	7481.18	0	7481.18
West	2018040523	7000.85	0	7000.85
West	2018040600	6651.63	0	6651.63
West	2018040601	6433.52	0	6433.52
West	2018040602	6318.02	0	6318.02
West	2018040603	6297.04	0	6297.04
West	2018040604	6378.19	0	6378.19
West	2018040605	6635.68	0	6635.68
West	2018040606	6917.17	0	6917.17
West	2018040607	7228.46	0	7228.46
West	2018040608	7755.05	0	7755.05
West	2018040609	8104.38	0	8104.38
West	2018040610	8286.58	0	8286.58
West	2018040611	8341.95	0	8341.95
West	2018040612	8390.44	0	8390.44
West	2018040613	8387.01	0	8387.01
West	2018040614	8382.85	0	8382.85
West	2018040615	8432.06	0	8432.06
West	2018040616	8513.39	0	8513.39
West	2018040617	8553.98	0	8553.98
West	2018040618	8737.3	0	8737.3
West	2018040619	9247.07	0	9247.07
West	2018040620	9075.99	0	9075.99
West	2018040621	8448.33	0	8448.33
West	2018040622	7589.5	0	7589.5
West	2018040623	6973.99	0	6973.99
West	2018040700	6621.07	0	6621.07
West	2018040701	6458.81	0	6458.81
West	2018040702	6447.82	0	6447.82
West	2018040703	6614.26	0	6614.26
West	2018040704	7244.57	0	7244.57
West	2018040705	8435.74	0	8435.74
West	2018040706	8926.98	0	8926.98
West	2018040707	8760.23	0	8760.23
West	2018040708	8783.9	0	8783.9
West	2018040709	8740.1	0	8740.1
West	2018040710	8709.88	0	8709.88
West	2018040711	8678.1	0	8678.1
West	2018040712	8845.62	0	8845.62
West	2018040713	9070.88	0	9070.88
West	2018040714	9286.08	0	9286.08
West	2018040715	9371.27	0	9371.27
West	2018040716	9328.49	0	9328.49
West	2018040717	9263.96	0	9263.96
West	2018040718	9274.93	0	9274.93
West	2018040719	9559.13	0	9559.13
West	2018040720	9291.42	0	9291.42
West	2018040721	8521.88	0	8521.88
West	2018040722	7641.96	0	7641.96
West	2018040723	6973.72	0	6973.72
West	2018040800	6650.83	0	6650.83
West	2018040801	6499.24	0	6499.24
West	2018040802	6488.79	0	6488.79
West	2018040803	6656.05	0	6656.05
West	2018040804	7257.63	0	7257.63
West	2018040805	8481.49	0	8481.49
West	2018040806	8860.76	0	8860.76
West	2018040807	8604.31	0	8604.31
West	2018040808	8570.69	0	8570.69
West	2018040809	8630.88	0	8630.88
West	2018040810	8687.97	0	8687.97
West	2018040811	8734.44	0	8734.44
West	2018040812	8845.81	0	8845.81
West	2018040813	8957.3	0	8957.3
West	2018040814	9093.26	0	9093.26
West	2018040815	9307.56	0	9307.56
West	2018040816	9413.45	0	9413.45
West	2018040817	9451.45	0	9451.45
West	2018040818	9371.22	0	9371.22
West	2018040819	9780.81	0	9780.81
West	2018040820	9441.89	0	9441.89
West	2018040821	8561.74	0	8561.74
West	2018040822	7577.65	0	7577.65
West	2018040823	6900.17	0	6900.17
West	2018040900	6521.66	0	6521.66
West	2018040901	6342.7	0	6342.7
