gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr
Biogas_IC,Coastal,Biogas,2018,214.767,534769.83,0.0
Biogas_IC,Northeast,Biogas,2018,0.435865,1085.30385,0.0
Biogas_IC,South,Biogas,2018,291.0312,724667.688,0.0
Biomass_ST,Northeast,Biomass,2018,0.1938511779,482.689432971,0.0
Coal-Lig_ST,Northeast,Coal-Lig,2018,0.0,0.0,0.0
Coal-Lig_ST,South,Coal-Lig,2018,207.429800291,1313030.63584,253784.928895
Coal-Sub_ST,Coastal,Coal-Sub,2018,146.491974612,927294.199294,167354.474523
Coal-Sub_ST,Northeast,Coal-Sub,2018,0.0,0.0,0.0
Coal-Sub_ST,South,Coal-Sub,2018,507.500643277,3212479.07195,631989.032486
Coal-Sub_ST,West,Coal-Sub,2018,0.0,0.0,0.0
Hydro_HYDRO,Northeast,Water,2018,4.96542080765,8639.83220531,0.0
Hydro_HYDRO,South,Water,2018,3047.9382,5303412.468,0.0
Hydro_HYDRO,West,Water,2018,47.1943470917,82118.1639396,0.0
NG_CCGT,Coastal,NG,2018,22196.8152581,104990936.171,13404214.209
NG_CCGT,Northeast,NG,2018,0.0,0.0,0.0
NG_CCGT,South,NG,2018,44620.2584082,211053822.271,26921788.5494
NG_CCGT,West,NG,2018,291.807673652,1380250.29638,152038.148519
NG_CCGT-CHP,Coastal,NG,2018,43787.9669653,207117083.746,29511342.6425
NG_CCGT-CHP,South,NG,2018,6911.53867696,32691577.942,4052787.75153
NG_CCGT-CHP,West,NG,2018,75.6263997195,357712.870673,46717.2678931
NG_IC,Northeast,NG,2018,0.0,0.0,0.0
NG_IC,South,NG,2018,1066.10040707,5042654.92546,811472.730373
NG_OCGT,Coastal,NG,2018,1661.80173109,7860322.18808,1605313.56655
NG_OCGT,Northeast,NG,2018,0.0,0.0,0.0
NG_OCGT,South,NG,2018,4629.13113535,21895790.2702,3574656.05843
NG_OCGT,West,NG,2018,83.1153074775,393135.404369,65265.3752164
NG_OCGT-CHP,Coastal,NG,2018,4135.90117194,19562812.5433,2989698.99249
NG_OCGT-CHP,South,NG,2018,168.770174464,798282.925214,123309.59602
NG_ST,Coastal,NG,2018,21344.1013344,100957599.312,18349034.6666
NG_ST,Northeast,NG,2018,0.0,0.0,0.0
NG_ST,South,NG,2018,19396.3998126,91744971.1137,16647436.9443
NG_ST,West,NG,2018,146.972252186,695178.752839,136438.852441
Solar_PV,Northeast,Solar,2018,17.532,6311.52,0.0
Solar_PV,South,Solar,2018,2223.9342,800616.312,0.0
Solar_PV,West,Solar,2018,20.6488,7433.568,0.0
Storage_BATT,West,Storage,2018,116.769873838,0.0,0.0
Uranium_ST,Northeast,Uranium,2018,13513.2907233,17972676.662,0.0
Uranium_ST,South,Uranium,2018,22625.046,30091311.18,0.0
Wind-C_WT,South,Wind-C,2018,16176.7764,0.0,0.0
Wind_WT,Northeast,Wind,2018,15373.8108,0.0,0.0
Wind_WT,South,Wind,2018,6932.1528,0.0,0.0
Wind_WT,West,Wind,2018,77430.831634,0.0,0.0
